premise,hypothesis,label,idx
"Black South Africans may throw their support to the Pan-Africanist Party, a left-wing spinoff from the ANC.",The Pan-Africanist Party may get the support of black South Africans.,0,174086
"But in 1912, when a group of developers built the Beverly Hills Hotel (9641 Sunset Boulevard), everything changed.",The Beverly Hills Hotel had a huge impact on the area.,0,259502
pretty good how many children did you say you had,I'm good. How many children do you have?,0,257081
Media luminaries from ABC News anchor Peter Jennings to Washington Post Co. mogul Katharine Graham have supported the PDFA since its inception.,The PDFA has received support from big players in the media industry.,0,203205
"Well, how about it? ","Okay, shall we proceed then? ",0,157249
Chenonceau,A location called Chenonceau,0,215767
yeah that's that's kind of the way i feel if if you've got a guy who's who's been to trial and has been in and out of jail you know basically a a three time loser for the twelfth time you know and he goes out and kills somebody he's not going to be reformed he's not going to get any better you know it's it's not going a it's just not going to get any better and and the only thing you know a lot of people have the opinion that you know don't don't have capital punishment but give them life in jail and you know i could go along with that if if i could be assured that it would be their natural life in jail and not parole after ten or twelve years,"I think if people keep getting in trouble, they won't get any better.",0,318469
Jewish toughness was seen in the Warsaw Ghetto uprising against the Nazis and in the sacrifices of Michael Schwerner and Andrew Goodman in Mississippi in 1964.,The uprising in the Warsaw ghetto was fomented by Jewish people. ,0,178715
The royal chateau of Blois is interesting for its variety of styles ' ranging from the 13th to 17th centuries ' built around one central courtyard.,The chateau of Blois features many architectural styles.,0,226755
"Also, he said the phrase alcohol problems does not always include risky drinking and problem drinking, so he suggested adding risky and problem drinking to the recommendation.",He suggested adding risky and problem drinking to the recommendation.,0,90323
The main spire is neo-Gothic of the 19th century.,The style of the main spire is 19th-century neo-Gothic.,0,242735
The ad dwells entirely on fiscal questions such as Social Security.,The ad completely focuses on financial issues like Social Security.,0,315119
Systematic approaches are possible but a bit complicated.,Good quality solutions are good but not always easy.,0,210357
and then if things deteriorate they can go to a second level which is you know like where they prepare their meals for them and and they still live somewhat independently but they have people checking on them and making sure they have hot meals and then where the same community a lot of times will also have the third level which is full care,They are able to have meals prepped for them while maintaining some level of independence. ,0,286764
"Well, she was here--and he wasn't sorry.",He was not apologetic. ,0,179206
"Like many of Ibiza's churches, it was built as a combination house of worship and fortress.","Much like a lot of other churches in Ibiza, it was constructed to be used as both a fortress and a place of worship. ",0,198563
The New Yorker 's Alex Ross calls Palestrina --about the 16 th -century Italian church-music composer--a spectacle that is magnificent on the surface and haunting at the core.,Ross calls Palestrina magnificent and haunting.,0,87875
right and the weed come up and all of a sudden you've got to do something else yeah,You've got to do something when the weeds come up.,0,281529
 Booty and Plunder,Rob and steal.,0,208478
"Unless one believes that the lives of Europeans are intrinsically more valuable than those of Africans, the humanitarian justification for military intervention is unsustainable, he wrote.",Military intervention can only be defended on humanitarian grounds if one believes that European lives have more value than African lives.,0,317359
"In the preamble to the final rule, the Commission responds to issues raised by the comments.",The Commission responds to issues that were brought up in the comments.,0,267853
Hairdressers and discos.,Hairdressers and dance clubs.,0,275228
"It is the oldest Greek monument in Istanbul, commemorating the Greek victory over the Persians at Plataea in 479 b.c. (it was brought here from Delphi by Constantine the Great).",Istanbul's oldest Greek monument is a depiction from a battle in 479 b.c.,0,137133
"Blowers, the sorbent storage silo, and other equipment will be mounted on concrete pads or foundations.",Equipment is mounted on concrete foundations.,0,122665
"Drew, 'member that time we took them river steamers an' had us a real feed?","Drew, do you recollect a time when we took the river steamers?",0,179053
"'Stop at the border,' it was my turn to speak up.",I told them to 'stop at the border.',0,21588
oh  well it one thing that gets me is when you see them do putting out the um the um knives forks and what have you and when they put them down they hold them by the edge that you are going to put in your mouth,"I hate how they handle they cutlery, when they are setting the table.",0,12811
"Under current federal laws and regulations, the frequent traveler benefits1 received by a federal employee in conjunction with official travel are generally considered government property, and the employee may not retain the benefits for personal use.",The federal employees are not allowed to use their traveler benefits for personal purposes.,0,310117
Shiny shoes clattered against toe-tipped heels.,The shiny shoes made noise.,0,370185
The federal government also provides financial aid to encourage postsecondary education.,Financial aid is given by the federal government.,0,133413
"He believed that the screen can have an interventive effect, so he wanted research on whether patients fare as well with a screen as they do with brief advice or more sophisticated techniques.",He wanted a look into the effectiveness of a screen.,0,201939
well i can see transportation because now you're dealing with or they have the responsibility over a great number of people,"If you are dealing with transportation, they have an important responsibility for a lot of people.",0,94260
"They really like that, Contreras said.",Contreras said they enjoyed that.,0,43908
It was indeed until 1869.,It was true up until 1869.,0,79081
"I'm not even standing, said Adrin.",Adrin was not standing.,0,138692
Greuze knocked on the door.,It was Greuze who knocked on the door.,0,300534
well now the thing is yeah they're cutting defense which is you know there are people out there working for defense contractors who are losing money but i don't i don't mind because i think you know government is not there to give me a job Government the defense is there to defend our country and they do it for whatever you know they spend whatever money they need to to do that but i don't want them to to break the budget just so that i can have a job i would rather have the the government stable so that i can go get a good job with someone who's not working you know not making defense stuff,I prefer the government be stable.,0,119272
"At the opposite extreme are massive, almost riotous processions of thousands of bellowing, sweat-drenched men fighting to carry a huge portable shrine through the streets to a symbolic destination.",Very sweaty men will fight to carry a shrine through the streets to a symbolic destination.,0,43818
"We agree there may be circumstances, such as in the development of software, when it makes good sense to progress with less than the best practice standard for drawings, but the DOD policy should maintain the requirement to achieve 90 percent drawings by the completion of the system integration phase.",It is sometimes practical to progress with less than the best practice standard for drawings.,0,275630
Too often he might have come hunting a district where there was a longer distance between sheriffs.,One too many times he was looking for a place that was not near a sheriff.  ,0,168240
and and of course they did a good bit for some of the war stuff but they didn't just over do it,They didn't overdo any of the war stuff.,0,110741
They finally surrendered on Christmas Day in 1941.,They surrendered on 25th of December 1941.,0,95609
"In separate remarks to male students, Wojtyla argued that in men, the intellect has a certain supremacy over the heart, and this is why Christ entrusted responsibility for the Gospel as idea to them.",Wojtyla argued that intellect is superior to the heart in men.,0,157687
well especially with something where you have to find you have to find it beyond a reasonable doubt you have to find whether they're guilty beyond a reasonable doubt and it's like do you really feel that sure about,You have to find it beyond a reasonable doubt.,0,237397
"Opponents such as Harris and Pfeifer argued loudly that the city was forecasting a deficit because it is saddled with debt voters didn't approve, to fund a library they didn't request, for the president who didn't inhale.",Voters didn't approve the debt that the city was running on.,0,15029
but uh yeah i i have no i don't know anybody that's that done that either so i it's it's interesting we got this topic because i i i don't know what i marked off to get this but,I don't know how I ended up with this topic because I don't know anyone who has done that and neither do you,0,271159
Maybe even Al Gore will soon exalt with a broad smile the vibrant U.S. ecology.,Maybe even Al Gore one day will support the U.S. ecology publicly.,0,141491
"If you've brought lunch, Grande Anse has pleasant shoreside picnic spots.",Grande Anse makes a great little picnic spot by the shore.,0,215217
A relatively new risk area receiving particular attention in organizational policies was user behavior.,One avenue getting more notice is user behavior.,0,62009
And...what do you think?,They want your opinion.,0,67326
I am pleased to appear before you today to discuss the work of the General Accounting Office (GAO).,I am here today to discuss the General Accounting Office.,0,211590
'Hold on.' Greuze held up a hand.,Greuze asked them to wait.,0,378449
"The team now faces China, which crushed defending champion Norway 5-0.",The team is now going to play China.,0,4740
"Seated on one side is the Nyorin Kannon, in whose hand is a jewel used to answer prayers and grant wishes; on the other is Kokuzo, who embodies wisdom and happiness.",Nyorin Kannon can grant wishes.,0,281583
"But I'm talking about art.""",But I am discussing art.,0,387329
"In reality, coal-fired facilities, on average, have lower capacity factors.",The capacity factors in facilities that are coal-fired tend to be lower.,0,202885
And that was officially it.,That was all it took.,0,317860
"Adrin stepped forward, put the barrel of his pistol against the man's forehead, and fired.",Adrin shot the man.,0,385350
LSC is in the process of reviewing the test results in order to make appropriate improvements.,The test results are currently being reviewed by the LSC.,0,186090
"In this regard, Texas A and M University has recently formed a new Center for Continuous Auditing involving a consortium of over 12 leading universities and others to help address these issues.",Texas A and M is part of a consortium of more than twelve universities.,0,32089
"Guadeloupe, from the air or on a map, resembles a butterfly.",From birds perspective Guadeloupe looks like a butterfly.,0,283911
you know how it is the water's kind of,You understand how the water is,0,225344
"I believe you, said the old gentleman, chuckling, and pinched her ear in high good-humour.",The old gentleman chuckled and then pinched her ear.,0,349193
problems i had had with it in nine years that i owned it i had to replace the compressor when it was about seven years old,"In the nine years I had it, I had to replace a part after about seven years of ownership.",0,274839
The following classification of internal control is intended to help auditors better understand internal controls and determine their significance to the audit objectives.,There are different classifications of internal control to help people better understand internal controls.,0,206620
i think one thing too that's hurting the teachers as far as recruiting teachers is that the uh they've lost a lot of their their authority in the classroom,Teachers losing authority in the classroom has led to less people wanting to enter the profession. ,0,213791
"When Seleucid rulers outlawed Judaism, Jews led by Judah Maccabee and his brothers staged a revolution in 167 b.c. and, against all odds, restored the primacy of Jewish religious life in Jerusalem.",Judaism was outlaws by Seleucid rulers sometime before 167 bc.,0,94273
"Thus, if a U.S. court rules a search is unconstitutional, the inspectors will be forced to obtain warrants.",Inspectors must get warrants if a court rules that the search is unconstitutional.,0,353724
"In exchange for losing a few compulsive gamblers, the casinos will (falsely) appear more concerned with the health of their customers than with profits.",The casinos act like they care about their customers.,0,130745
Only a handful of hours ago.,Just a while ago.,0,305960
"Weld hurt himself by attacking the chairman unfairly and with political rhetoric that was just uncalled for, Lott complained.",Weld attacking the chairman only hurt him in the long run.,0,289953
"The project's purpose is to obtain and publicize information on model practices, programs, and systems.",The aim is to disseminate relevant information.,0,338529
like you're saying and the programs that they have where where some of them will have dances once a week and some of them sponsor different crafts and they go to the arboretum to see things and they make sure that if they want to go to church there's a bus there,The have events such as crafts and dancing and even take trips to places like the arboretum.,0,49075
Even Epstein seems to recognize we need some when he accepts laws stopping people from selling themselves into slavery or selling a vital organ such as their heart.,Epstein agrees that we need some laws.,0,24229
"6 Thus, when the government runs deficits and accumulates debt, Ricardian consumers would save more to ensure that they or their descendants can pay the expected higher future taxes.","When the government accumulates debt, consumers would save more.",0,312756
"It is confusing; and, as you know, I do not like confusion."" Before I could reply, one of the other Belgians opened the door and stuck his head in. ",I didn't get to reply because somebody poked their head in the door. ,0,136282
Six weeks ago a Times op-ed piece by political scientist Lucian Pye explored the formidable mindset that governs China today.,Six weeks ago a Times op-ed piece by political scientist explored the mindset that governs China today.,0,106131
i agree get them out there,I agree with getting them out there.,0,62472
"Under this initiative, the administration will establish a baseline of the extent of erroneous payments and require agencies to include, in their fiscal year 2003 budget submissions, information on erroneous payment rates, including actual and target rates, where available, for benefit and assistance programs over $2 billion.",Agencies will be required to include their payment rate information for benefit and assistant programs over more than a billion dollars.,0,253026
"During his stint as governor of the island, Zarco is believed to have lived a short distance up Caleda do Pico, in the Quinta das Cruzes.",Zarco was governor of the island for a time.,0,10342
"He still exaggerates the hostility displayed, and says that Saxton won't let me answer when in fact Reich's chief economist is later allowed to deliver a lecture-length reply.",He exaggerates the whole situation and throws out false accusations despite being given a fair chance to speak.,0,317529
"Another says an orphan was killed, salted, and eaten.",Someone says that an orphan we salted and eaten.,0,254710
okay so what kind of cars are you looking at,"okay, got any specific car in mind?",0,295964
you know i and and you know at a time when they're afraid of their shadow all they need is you know some skunk or something to rub up the outside of the tent they'd be awake all night,Some people are easily spooked when camping.,0,13767
"If he becomes a serious threat, Livingston and other GOP leaders will make sure to stop him.",Livingston and the other GOP leaders will stop him if he becomes a serious threat.,0,122515
"Predicting that he would get a lot of heat for treating the minister with respect, Novak said that Farrakhan was more measured and a lot less confrontational and provocative than a lot of the politicians we talk to regularly on this program.",Novak mentioned Farrakhan was testing the waters with the politicians and was confronting them with ideas,0,323161
"Fountains, inns, religious schools, and barracks were constructed.",Many different types of buildings were constructed.,0,153992
"And yet, I cried indignantly, ""after that, you gave me two reasons why Miss Howard could not have committed the crime!""","After that, you told me why Miss Howard was innocent.",0,38241
"Investment in nonfederal physical property refers to those expenses incurred by the Federal Government for the purchase, the construction, or the major renovation of physical property owned by state and local governments, including major additions, alterations, and replacements; the purchase of major equipment; and the purchase or improvement of other physical assets.",Investment in private property refers to expenses by the government for physical property.,0,39526
Russia goes in there well the main government in Moscow goes in there and they kick everybody's ass and the United States doesn't go in there and say listen they were uh you know named an independent you know state with a president and everything but we're not going to go into your country,The United States will not go into the country.,0,185528
"Fortunately, the noble silhouette of the Abbaye aux Hommes has survived (best seen from the Place Louis-Guillouard).",The best place to view the Abbaye aux Hommes is from the Place Louis-Guillouard.,0,337670
uh-huh what's so sad about this is both of the the man and the woman had a degree having to do with computers but their training isn't what we need in this country and because they're so deficient in English they haven't been able to get jobs,Both people have degrees but they don't speak English so they can't get a job.,0,143106
He recently said that a Washington state initiative to require trigger locks was written by Satan.,He said the trigger lock law was terrible.,0,20210
"The industry now plans to strengthen warnings that children should be kept, appropriately harnessed, in the back seat, where they will be neither helped nor harmed by air bags.","Children should be kept in the backseat and appropriately harnessed, away from air bags, says the industry.",0,147778
"He finally left the frock behind, however.",He finally decided to take off the frock.,0,309770
"Formed from volcanic eruptions many millions of years ago, Madeira, like the Canary Islands, is an archipelago.",The archipelago that is Madeira was formed by volcanic eruptions millions of years ago.,0,332906
The size of the contingency quickly became a cause celebre with many parties to the rate case.,The contingency size became an issue for the parties of the case.,0,331804
This was no place for untamed fire.,This was not a good place for fire.,0,101162
"The river Ouvyze, spanned by a Roman bridge, separates the attractive medieval haute ville from the modern town and Roman ruins.",The modern town of Roman ruins is separated from the medieval haute ville by the Ouvyze river.,0,354943
Not on muscle.,Not on a bicep,0,14762
okay uh right here in Colorado Springs where i live,I currently reside in Colorado Springs.,0,70274
He also knew what too many latter-day economists have  Macroeconomics is crucial to the public credibility of economics as a whole.,Macroeconomics is crucial to the public credibility of economics as a whole.,0,324642
"Kazimierz, a pragmatist, did not try to wrest control of Silesia, in the hands of Bohemia, or the territory seized by the independent state of the Teutonic Knights.","As a pragmatist, Kazimierz did not try to wrest control of Silesia, which was in the hands of Bohemia, or the territory seized by the independent state of the Teutonic Knights.",0,215341
Ri Ra is a friendly club located in Dame Street.,Dame Street has a club called Ri Ra.,0,62529
I nodded.,I nodded yes.,0,150658
"Presently she produced the oilskin packet, and asked me if I recognized it, watching me like a lynx all the time.","She showed me a packet, asking if I recognized it.",0,309930
She apparently couldn't recall what had happened to the others.,She couldn't remember what happened to the other people.,0,232177
"Ca'daan's eyes fell to the small man, Stark.",Ca'daan looked at the small man.,0,362440
Appendix III Guidelines for Reviewing Case Study Reports,Guidelines for Reviewing Case Study Reports is listed in the Appendix.,0,157040
he you know i just as far as feelings uh for people that their family came from there and how they feel about you know our intervention and their governments and stuff like that and he he was all for it because it's just like you say uh there's so many people there that that,He cares a lot about people and their families.,0,252633
His next shot split open the forehead of another rider with spiked hair washed dark brown with blood.,Another rider was struck by a bullet.,0,182391
"Overnight, it appeared, they had been handed over to King Charles III of Spain though the treaty was not announced until 1764.",The treaty with Spain was not made public until 1764.,0,210084
"Poirot, I cried, ""where are you?""","Where are you, Poirot?",0,367583
"It wasn't so easy, by a long chalk! ",This was hard by any measure.  ,0,1749
"Several agencies asked whether certain changes to their existing payment process complied with the internal control requirements of Title 7. At the time of the request, their procedures required the verification of receipt and acceptance prior to authorization of payment.",Some agencies wanted to know what changes could be made to the payment process.,0,314812
"Takin' a quirt to th' kid, eh?"" Kells' voice slid up the scale.",Kells' was speaking about the kid.,0,326110
It is essentially a genius-level version of rock-paper-scissors.,This game is a high level version of Rock-Paper-Scissors,0,293046
Abby and Jonathan he he took Abby and Jonathan with him,He took both Abby and Jonathan with him,0,317390
Life bustled around the men as they walked.,"As the men walked, life was bustling around them.",0,301544
right yeah the uh cable prices are just too high nowadays and i'm not going to i i just won't pay that that kind of money for for what i'm getting i mean i miss A   and E and i miss Discovery and i miss CNN but that's it,There are a lot of shows I like on cable but it's just too much money.,0,93432
"During FY 1998, the most recent year for which statistics are available, the USDOL certified 34,898 job openings and approximately 4,000 employers.",The most recent year for when statistics are available was during FY 1998.,0,28227
"When a system involving software is being developed, one or more cost models may be useful.","When a system involving software is being developed, there could be more than one model that is useful.",0,344022
"Long before the arrival of the first Europeans, Nagasaki had been a major focus of Japan's trade with China.","Nagasaki played an important role in Japan's trade with China, before the Europeans came.",0,339449
"Jerusalem has a staid reputation, but take a stroll in the New Citein the area around Ben Yehuda Street and Yoel Salomon Street and you'll find lots going on most evenings, including a handful of discos, several music bars and  pubs,  and narrow streets congested with tables and thronging with locals and tourists.",There are discos and pubs in the new Citein area of Jerusalem.,0,247995
Behind the Burnt Column rises the Baroque exterior of the Nuruosmaniye Camii (built in 1755).,Nuruosmaniye Camii is situated behind the Burnt Column.  ,0,216399
uh it it it did show some some uh some interesting things about the FBI because they were the the uh the characters trying trying to get him were FBI people and uh uh of the of the few good things that were in it it did show uh a lot about the FBI about the training and and how they go through training and how they try to to develop uh uh a mental picture of who they're looking for before they go out and do it and all the different ways they go about doing that and it was uh uh it was was pretty telling about the the the FBI and and their procedures,It did show some things about the FBI training that were interesting.,0,122318
yeah okay okay i figured about that,I figured that. ,0,376303
that's right it's easier after you're you don't have to worry about it,You do not have to be concerned about it.,0,382481
"-- Asking the Pennsylvania Supreme Court to adopt a measurable standard of 50 hours of pro bono participation per lawyer, per year as an aspirational goal under the Model Rules of Professional Conduct.",The Model Rules of Professional Conduct could govern standards for pro bono work.,0,8790
The effective interest is compared with the stated interest of the investment.,The interest is looked at against the other interest.,0,168106
" Menes was there, all right.","Menes was present, all right.",0,143722
Click for a list of them and another mix-and-match game.,For a list of them and another game click here.,0,168145
The present structure enclosing the tomb was designed by an Greek Orthodox architect in the 19th century.,A Greek Orthodox architect designed the structure in the 19th century.,0,9234
"Moreover, by exercising our discretion to leave the severability question open, we fail to resolve the basic, realworld dispute at  whether LSC attorneys may represent welfare claimants who challenge the applicable welfare laws.",We fail to find a solution for the dispute if we leave the severability option open.,0,48093
"De Wit was paid a reasonable stipend of a120 per year to produce the works, examples of which can also be seen in other rooms of the palace.","A reasonable stipend of 120 per year was paid by De Wit, it produced the works, examples of which can also be seen in other rooms of the palace.",0,360163
"The federal workforce is  the baby boomers, with their valuable skills and experience, are drawing near to retirement; new employees joining the federal workforce today have different employment options and different career expectations than the generation that preceded them.",The baby boomers have a lot of skills and experience.,0,23169
"I thought you were a nurse.""  She frowned at him, but went to a corner where a small ball of some clear crystalline substance stood.",It was my understanding that you were in the nursing profession.,0,17515
and they'll just go out and do anything they can to do it,They do whatever they can.,0,1373
"The city airport bus terminal operates below ground, beneath an 1885 statue of Christopher Columbus and a monument to the discovery of the New World.",The bus station at the airport was situated underground.,0,39420
i mean i i because the way i mean sort of the way to think about it is well they won you know they sort of took over the um they're one of the only countries in in in history that has been told that they have to give back what they took in a war which they didn't start basically so,It's a rare case where the loser had to give up things even though they didn't begin the war.,0,223965
how much how much um he's so much like Michener he's not as bad in terms of going into so much depth but he he's i like the way he writes and if it's not something that moves with me in the first two or three chapters something like that i just won't keep it you know,I need something to move me within the first few chapters.,0,243662
Estimating the private saving offset is complicated by the fact that individuals may respond differently to changes in government saving.,Individuals might save differently if the government saves differently.,0,107906
"You can come in at once?""","""If you'd like, you can enter immediately.""",0,56477
"Legal assistance is also sought for job injuries, and other health and safety issues.","Legal assistance is sought for job injuries, and other health and safety issues.",0,362542
"After so much time in bed, even a well man should be rendered weak and shaky.",Someone who spent too much time in bed is weak for it.,0,239655
uh but again i've been dealing with large files both data and and otherwise uh that was a engineering spec on B2 you come here with the B level of specs,There are large amounts of data that I've had to deal with.,0,114967
"When made, they are treated as expenses in the financial statements.",They are considered in the statements to be financial expenses. ,0,279319
ARTICLE : : Too True To Be Good,The article is titled Too True To Be Good.,0,143902
yeah and and when the when the United States was founded the people the people who founded the country all had the same value systems and beliefs and so immigrants coming in understood that and and it wasn't as if it was forced upon them they chose to come to this country,The original founders of the United States all shared the same beliefs and value systems.,0,206691
uh-huh oh i feel that is certainly if you're going to carry one you need to be uh very comfortable with the piece and have enough uh knowledge and insight for your own self on whether or not you're going to use it in that situation and not pull it unless you intend to because i i feel like that's you know i mean i'm i'm i'm all for uh people having having firearms or having whatever form of protection they prefer because you know even though the odds is you know the criminal ends up getting the gun and shooting the people to begin with you know the people that had it in the beginning but if the if if you're talking about uh two people if you're talking about a criminal an assailant that is coming at you with a gun and you don't have a gun at all well the chances are a hundred percent they're going to get you if you if you both of you have a firearm you've at least got that fifty percent chance that you may get them first and so i believe in that but i i've not ever felt comfortable in it i guess it's  i'm glad i  i'm glad i um i'm that i'm married to someone who feels comfortable with them  you know it's it's one of those things um i was reared in Texas so,I think you need to know a lot about guns if you're goign to carry one.,0,120906
"Short-Term Exposure, COPD Related, Ages 64 and PM2.",Exposure for ages above 60.,0,199092
and got started and so she grabbed me by the ear and made me do it this year,She made me do it this year by grabbing me by the ear.  ,0,22346
"Specifically, they must determine ",They must determine more clearly and precisely.,0,382674
They say things like This is the coolest generation ever.,These people are speaking in glowing terms about this generation.,0,328812
i ended up winning about uh two hundred and thirty radio contests in two school years so i accumulated my record collection mostly from that,I won over two hundred radio contest in two years.,0,282067
oh yeah yeah it's um well of course on the green card you have to pay it when the bill comes in so there isn't any but on the Optima card it's um let's see right now it's running at about it's not too bad it's actually it's about sixteen and a half percent which is pretty good as far as credit cards go,There is only the Optima card. ,0,32555
