sentence,label,idx
raucous and sappy ,0,17304
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,0,8571
dull ,0,31625
his dependence on slapstick ,0,39700
comes up shorter than britney 's cutoffs ,0,40241
"'s apparently nothing left to work with , sort of like michael jackson 's nose ",0,33912
recycled more times than i 'd care to count ,0,60258
undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads ,0,64400
ransacks its archives for a quick-buck sequel . ,0,17202
being surprisingly dull ,0,22356
by the time the credits roll across the pat ending ,0,36941
by shooting itself in the foot ,0,24858
blemishes ,0,64113
with the inherent absurdity of ganesh 's rise ,0,57742
"find room for one more member of his little band , a professional screenwriter ",0,47982
you suffer the dreadfulness of war from both sides ,0,8875
the only thing i laughed at ,0,40936
"the film never recovers from the clumsy cliché of the ugly american abroad , ",0,3709
it all unfolds predictably ,0,30204
created a monster ,0,52698
you 'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy . ,0,27034
unbelievably stupid ,0,29551
the problematic characters and overly convenient plot twists ,0,53539
... keep the movie from ever reaching the comic heights it obviously desired . ,0,45138
"rollerball is as bad as you think , and worse than you can imagine . ",0,65649
"do n't know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money . ",0,13215
get out ,0,59136
he 's a slow study : the action is stilted and the tabloid energy embalmed . ,0,25237
sometimes the dreams of youth should remain just that ,0,58352
long-on-the-shelf ,0,59807
a pathetic exploitation film ,0,25597
exploiting it yourself ,0,46832
gay s/m fantasy ,0,18057
ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot . ,0,25748
all the stomach-turning violence ,0,31913
"deserves , at the very least , a big box of consolation candy ",0,61754
"manages just to be depressing , as the lead actor phones in his autobiographical performance ",0,15842
by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot ,0,13389
"like its title character , esther kahn is unusual but unfortunately also irritating . ",0,40349
"a pale xerox of other , better crime movies . ",0,24624
less a documentary and more propaganda ,0,5604
exhibits the shallow sensationalism characteristic of soap opera ... more salacious telenovela than serious drama ,0,46813
that will probably sink the film for anyone who does n't think about percentages all day long ,0,48422
comedian runs out of steam after a half hour . ,0,12471
but it was n't . ,0,23151
that 's not saying much ,0,56613
is just too easy to be genuinely satisfying . ,0,46927
your pooper-scoopers ,0,64490
the pacing is often way off and there are too many bona fide groaners among too few laughs ,0,49098
is clearly not zhang 's forte ,0,51471
as aimless as an old pickup skidding completely out of control on a long patch of black ice ,0,42746
"for kids or their parents , for that matter ",0,59872
"meaningless , vapid and devoid ",0,42237
becomes something about how lame it is to try and evade your responsibilities ,0,67276
like getting all excited about a chocolate eclair and then biting into it and finding the filling missing ,0,50659
does n't have much to say beyond the news ,0,56184
"mainstream audiences will find little of interest in this film , which is often preachy and poorly acted . ",0,32439
you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time . ,0,49134
giggling at the absurdities and inconsistencies ,0,51518
"after a while , hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial . ",0,63444
more holes ,0,64522
too often spins its wheels with familiar situations and repetitive scenes ,0,61381
too amateurishly square ,0,40918
", it has some problems ",0,32684
"folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either ",0,54366
a lame comedy . ,0,38154
inept ,0,8295
a sugar-coated rocky ,0,48346
"it made me feel unclean , ",0,21860
of blaxploitation flicks ,0,45621
of overwhelming waste ,0,49010
plenty of baggage ,0,40700
the action here is unusually tame ,0,18118
it lacks the detail of the book ,0,33586
mid-to-low budget ,0,60089
squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story ,0,55073
the film should instead be called ` my husband is travis bickle ' ,0,50419
's not entirely memorable ,0,2960
", with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . ",0,46520
has no point ,0,632
"as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four . ",0,61535
's just plain lurid when it is n't downright silly ,0,26837
slides downhill as soon as macho action conventions assert themselves ,0,50691
"a glorified sitcom , and ",0,46443
spectacular belly flops ,0,6522
might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ,0,58024
the film 's story does not live up to its style ,0,62458
"a dim-witted and lazy spin-off of the animal planet documentary series , crocodile hunter is entertainment opportunism at its most glaring . ",0,23110
horrible ,0,18426
"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative . ",0,7873
years and years of costly analysis could never fix ,0,44487
"favored by pretentious , untalented artistes who enjoy moaning about their cruel fate ",0,49955
lacking any of the rollicking dark humor so necessary ,0,53856
soon-to-be-forgettable ,0,2694
noticeably less energy and imagination ,0,5161
"though there are many tense scenes in trapped , they prove more distressing than suspenseful . ",0,31650
unsympathetic hero ,0,17414
the thousands of americans who die hideously ,0,14750
must indeed be good to recite some of this laughable dialogue with a straight face ,0,41464
", the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ",0,61577
is kinda wrong in places ,0,5591
director charles stone iii applies more detail to the film 's music than to the story line ; ,0,24522
cinematic car wreck ,0,66621
with celluloid garbage ,0,8585
cause loads of irreparable damage that years and years of costly analysis could never fix ,0,62095
largely flat and uncreative moments ,0,9058
tardier ,0,46935
painful improbability ,0,16730
just so the documentary will be over ,0,63527
that craven endorses they simply because this movie makes his own look much better by comparison ,0,51479
content to recycle images and characters that were already tired 10 years ago ,0,43532
lurches between not-very-funny comedy ,0,48856
is derivative ,0,58029
"sucks , but has a funny moment or two ",0,25685
knucklehead swill ,0,25375
so i do n't know what she 's doing in here ,0,52924
"while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative . ",0,15127
"it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time . ",0,8285
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0,615
the scriptwriters are no less a menace to society than the film 's characters . ,0,48556
plays like clueless does south fork . ,0,34845
the shocking conclusion is too much of a plunge ,0,18022
dreary ,0,37841
takes a look at 5 alternative housing options ,0,34877
that wore out its welcome with audiences several years ago ,0,25530
would have a hard time sitting through this one . ,0,66208
with absurdly inappropriate ` comedy ' scenes ,0,32668
a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ,0,56776
"'s fairly lame , ",0,47769
"as a director , eastwood is off his game -- there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising . ",0,31252
that watching the proverbial paint dry would be a welcome improvement ,0,18540
"presents nothing special and , until the final act , nothing overtly disagreeable . ",0,36656
like being able to hit on a 15-year old when you 're over 100 . ,0,45936
a total rehash ,0,50531
arduous journey ,0,24090
worse than bland ,0,12544
"like the world of his film , hartley created a monster but did n't know how to handle it . ",0,53237
with a degree of randomness usually achieved only by lottery drawing ,0,58845
in alcatraz ' ... a cinematic corpse that never springs to life ,0,3431
"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest ",0,44260
replaced by the forced funniness found in the dullest kiddie flicks ,0,35741
this movie plays like an extended dialogue exercise in retard 101 . ,0,5143
"director yu seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times . ",0,22829
forgets to make it entertaining ,0,26850
wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : ,0,67270
never rises to its clever what-if concept . ,0,37047
who seem barely in the same movie ,0,43819
incompetent cops ,0,3884
try to avoid ,0,47172
the demented mind ,0,58351
"jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat ",0,43779
all awkward ,0,63743
"helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter ",0,19877
the elements were all there but lack of a pyschological center knocks it flat ,0,36321
"` linklater fans , or pretentious types who want to appear avant-garde will suck up to this project ... ' ",0,53803
friday after next spreads them pretty thin ,0,38441
"reign of fire never comes close to recovering from its demented premise , ",0,49220
"that even a story immersed in love , lust , and sin could n't keep my attention ",0,10608
wretchedly unfunny wannabe comedy ,0,28761
should have been a more compelling excuse to pair susan sarandon and goldie hawn ,0,49176
"an incredibly heavy-handed , manipulative dud that feels all too familiar . ",0,58394
none of this is meaningful or memorable ,0,18493
"far-flung , illogical , and plain stupid ",0,27214
small-budget ,0,28656
pick up the slack ,0,12304
"anemic , pretentious . ",0,59893
when none of them are ever any good ,0,49222
"there may have been a good film in `` trouble every day , '' but it is not what is on the screen ",0,4704
contrived situations ,0,15563
"that it 's offensive , but that it 's boring ",0,23201
"meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , ",0,7502
silly and crude storyline ,0,50746
peculiarly moral amorality ,0,44174
"normally good actors , even kingsley , are made to look bad ",0,52931
", steven soderbergh 's space opera emerges as a numbingly dull experience . ",0,26467
be relegated to a dark video store corner ,0,28801
descends into sub-tarantino cuteness ,0,19467
love liza is a festival film that would have been better off staying on the festival circuit . ,0,56059
is never especially clever and often is rather pretentious ,0,63829
obnoxious and didactic burlesque ,0,4355
gross ,0,12742
"the film starts promisingly , but the ending is all too predictable and far too cliched to really work . ",0,16383
a film tailor-made for those who when they were in high school would choose the cliff-notes over reading a full-length classic ,0,16739
", this too-long , spoofy update of shakespeare 's macbeth does n't sustain a high enough level of invention . ",0,17748
incessant use ,0,21019
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents . ",0,13378
"the entire point of a shaggy dog story , of course , is that it goes nowhere , ",0,3848
... pays tribute to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism . ,0,34608
it just sits there like a side dish no one ordered . ,0,27328
"'s unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue . ",0,58172
it also comes with the laziness and arrogance of a thing that already knows it 's won . ,0,15873
the worst of the brosnan bunch ,0,8606
must indeed be good to recite some of this laughable dialogue with a straight face ,0,41464
a sloppy slapstick ,0,9839
is a technological exercise that lacks juice and delight ,0,16257
of what critics have come to term an `` ambitious failure ,0,25311
that sometimes it 's difficult to tell who the other actors in the movie are ,0,62594
becomes a tv episode rather than a documentary ,0,38949
"writing , skewed characters , ",0,2273
the junk-calorie suspense tropes that have all but ruined his career ,0,27855
"( or worth rooting against , for that matter ) ",0,46756
who manages to blast even the smallest sensitivities from the romance with his clamorous approach ,0,15477
depressing than entertaining ,0,66950
certainly wo n't be remembered as one of ( witherspoon 's ) better films . ,0,66540
too insistent ,0,42410
knock back a beer with but they 're simply not funny performers ,0,1205
it 's not just the vampires that are damned in queen of the damned ,0,56331
this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ,0,10044
", but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ? ",0,40664
in cynicism every bit ,0,28874
not much else ,0,28245
"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything ",0,61300
"is messy , uncouth , incomprehensible , vicious and absurd ",0,40085
"ugly , pointless , stupid movie ",0,26408
relative letdown . ,0,25780
an insult to every family whose mother has suffered through the horrible pains of a death by cancer ,0,48774
lilo & stitch '' is n't the most edgy piece of disney animation to hit the silver screen ,0,27029
"'s a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary . ",0,42120
"sit through , ",0,34
a bid to hold our attention ,0,15042
"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything ",0,61300
"a dull girl , ",0,3999
'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment ,0,49375
"even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or his predicament ",0,12291
"absurd plot twists , idiotic court maneuvers and ",0,31074
would know what to make of this italian freakshow . ,0,64110
is so anemic ,0,58986
... margarita feels like a hazy high that takes too long to shake . ,0,37915
may strain adult credibility ,0,14025
martha stewart decorating program run amok ,0,17728
the film is deadly dull ,0,41631
sub-par ,0,6509
... ` the country bears ' should never have been brought out of hibernation . ,0,21012
is simply not enough of interest onscreen ,0,18725
the plot makes no sense ,0,60910
mean-spirited ,0,18232
one of those so-so films that could have been much better ,0,5683
if each watered down the version of the one before ,0,37925
are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach ,0,64922
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance ,0,22293
love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots ,0,57253
's really unclear why this project was undertaken ,0,23593
"is busy contriving false , sitcom-worthy solutions to their problems ",0,12820
this is one that should be thrown back in the river ,0,39366
alienate ,0,22025
immature character ,0,17159
"'s a glorified sitcom , and a long , unfunny one at that . ",0,55247
"a text to ` lick , ' despite the efforts of a first-rate cast ",0,16276
"a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . ",0,20842
not enough fizz ,0,61018
how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering ,0,33074
as ugly as the shabby digital photography and muddy sound ,0,5854
sign a pact to burn the negative and the script and pretend the whole thing never existed ,0,28726
without being memorable ,0,35708
"they just have problems , which are neither original nor are presented in convincing way . ",0,51524
the film 's vision of sport as a secular religion is a bit cloying ,0,9529
"overwhelm what is left of the scruffy , dopey old hanna-barbera charm ",0,46177
murky ,0,21787
a disappointment is the superficial way it deals with its story . ,0,62782
"a perverse , dangerous libertine and agitator -- which would have made for better drama ",0,46171
relatively dry material ,0,58205
borscht ,0,24648
"just a string of stale gags , with no good inside dope , and no particular bite . ",0,62009
as-nasty - ,0,33073
"with no good inside dope , and no particular bite ",0,25903
"the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears . '' ",0,43120
the misleading title ,0,13620
is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,0,48958
no organic intrigue ,0,46934
to pity the ` plain ' girl who becomes a ravishing waif after applying a smear of lip-gloss ,0,62715
one baaaaaaaaad movie ,0,2129
gets molested ,0,64845
one-sided ,0,19905
not too filling ,0,22017
... irritating soul-searching garbage . ,0,50262
"by an inconsistent , meandering , and sometimes dry plot ",0,25382
and cinematic deception ,0,65958
so boring that even its target audience talked all the way through it . ,0,2752
"'s taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating ",0,39263
"bang your head on the seat in front of you , at its cluelessness , at its idiocy , ",0,34109
does no justice to the story itself ,0,18526
"this is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least . ",0,57034
can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for frida to just die already . ,0,27630
still leaves shockwaves ,1,53633
the relationships were wonderful ,1,16973
"sneaks up on the viewer , providing an experience that is richer than anticipated ",1,38855
"by the end of the movie , you 're definitely convinced that these women are spectacular . ",1,7874
supporting ,1,66240
efficient ,1,5422
"hubert with a mixture of deadpan cool , wry humor and just the measure ",1,46456
a marginal thumbs ,1,22022
a little bit of romance and a dose ,1,16064
"decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him ",1,66131
terrific role ,1,3164
"itself , a playful spirit ",1,57444
more than satisfactory ,1,17941
"its true-to-life characters , its sensitive acting , its unadorned view of rural life and ",1,21800
strongest ,1,17532
strongest film ,1,3909
", byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth . ",1,48479
"via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy ",1,12718
luminous ,1,31007
luckiest stroke ,1,20916
the most wondrous love story in years ,1,58115
recommended as an engrossing story about a horrifying historical event and the elements which contributed to it . ,1,16408
suspenseful cliché ,1,49174
"an enjoyable , if occasionally flawed , experiment . ",1,31133
is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others ,1,43562
outgag any of those young whippersnappers making moving pictures today ,1,57893
a huge box-office ,1,64316
outpaces its contemporaries with daring and verve ,1,18820
to a higher level ,1,12346
"reyes ' directorial debut has good things to offer , ",1,9750
while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself ,1,12139
hitchcockian suspense ,1,40894
at heart is a sweet little girl ,1,22589
good actors ,1,24678
"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear ",1,41805
the cast is spot on and ,1,303
quite tasty and inviting all the same ,1,15806
"form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand ",1,12758
an effective portrait of a life in stasis -- of the power of inertia to arrest development in a dead-end existence ,1,41287
it 's still a good yarn -- which is nothing to sneeze at these days . ,1,46979
love the opening scenes of a wintry new york city in 1899 ,1,20645
most ravaging ,1,6028
"as beautiful , desirable ",1,3770
the film 's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them . ,1,44345
a top-notch cast ,1,48098
filmmaking with a visually masterful work of quiet power ,1,54726
"dare i say , entertaining ! ",1,58797
is suspenseful and ultimately unpredictable ,1,14818
"the pleasures of a slightly naughty , just-above-average off - broadway play ",1,61585
enveloping affection ,1,64344
love the robust middle of this picture . ,1,21339
"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman ",1,49704
"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . ",1,6192
a better movie experience ,1,34887
in the manner of a golden book sprung to life ,1,13460
of that ,1,8297
a cinematic fluidity and sense ,1,19474
"a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design ",1,66649
is an impressive achievement in spite of a river of sadness that pours into every frame . ,1,36894
very tasteful ,1,23643
"broomfield is energized by volletta wallace 's maternal fury , her fearlessness , ",1,62834
has considerable charm ,1,1337
the best sex comedy ,1,42139
"eating , sleeping and stress-reducing ",1,14776
politically audacious ,1,64111
ability to pull together easily accessible stories that resonate with profundity ,1,67261
to reel in the audience ,1,26180
"'s a spontaneity to the chateau , a sense of light-heartedness , that makes it attractive throughout . ",1,18775
the dark visions already relayed by superb ,1,47342
's a pleasure to have a film like the hours as an alternative ,1,23757
transcends the normal divisions between fiction and nonfiction film ,1,14806
"daringly perceptive , taut , piercing and feisty ",1,25094
"the importance of being earnest , so thick with wit it plays like a reading from bartlett 's familiar quotations ",1,5895
heartfelt comedy ,1,5899
of splendid performances ,1,10827
"that buoy the film , and at times , elevate it to a superior crime movie ",1,40437
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) , ",1,41188
hawaiian shirt ,1,111
memorable ,1,25553
the story compelling ,1,33798
"gentle , touching ",1,39812
"filmmakers david weissman and bill weber benefit enormously from the cockettes ' camera craziness -- not only did they film performances , but ",1,45213
backed by sheer nerve ,1,10519
that are lean and tough enough to fit in any modern action movie ,1,7164
do all three quite well ,1,22712
"familiar , funny surface ",1,34112
if the man from elysian fields is doomed by its smallness ,1,3638
the compelling historical tale ,1,53113
a delightfully dour ,1,30351
ambiguous ,1,55176
more down-home flavor ,1,45784
elegantly produced and expressively performed ,1,37604
of the holiday box office pie ,1,646
that rare family movie ,1,22059
deliver ,1,31737
uncovers a trail of outrageous force and craven concealment . ,1,11898
"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . ",1,40727
a glorious spectacle like those d.w. griffith made in the early days of silent film ,1,44751
's a diverting enough hour-and-a-half for the family audience . ,1,45182
the artist as an endlessly inquisitive old man ,1,67138
"the series ' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls ' amusing personalities . ",1,55698
