sentence,label,idx
Steve tossed at the ball.,0,2780
The magician appeared a rabbit out of his hat.,0,2141
"His expectations lower, the higher the stakes are.",0,169
few evidence was provided.,0,3480
Which table did you wonder on Kim put the book?,0,6538
Jennifer craned her arm.,0,3142
"The president could not approve the bill, could he?",0,4510
They caused him to become angry by making him.,0,40
I inquired John likes his beer.,0,5957
John intimately spoke to Mary.,0,700
The UN blamed global warming on humans on natural causes.,0,3900
He will indeed not endorse the treaty.,0,7483
Will not John go to school?,0,7464
Bill reading of Shakespeare satisfied me,0,8300
I was happier there than I'm here.,0,5535
I've kicked more of a man than you have.,0,5404
John seems to be a fountain in the park.,0,4319
We investigated bombs in the area.,0,2353
"Clearly, John perfectly will immediately learn French probably.",0,694
Could you turn off the fire and on the light?,0,3708
Mickey slips all the time up.,0,444
They represented seriously Mary as a genuine linguist.,0,753
I sent Bill money to Mary to Sam.,0,7691
Amanda drove at the package.,0,2705
Jessica stuffed boxes at the truck.,0,2602
John has a hole in his quilt's upper right-hand corner.,0,1891
The magician vanished a rabbit into thin air.,0,3351
We ate at.,0,5700
I put.,0,7323
Nathan showed to Benjamin it.,0,8273
Fred offered the ball over Molly.,0,2047
What did Bill cook and wash the dishes?,0,4960
It's probable in general that he understands what's going on.,0,430
Us love their.,0,772
Here is the snowball which I chased the boy who threw at our teacher.,0,1092
I lent Tony the book partway.,0,2104
I inquired John to like his beer.,0,5959
Cynthia devoured at the pizza .,0,3112
Jerry has a blemish on the end of his sister's nose.,0,1896
"He gets angry, the longer John has to wait.",0,248
Louis begged Kate that she leave her job.,0,6260
Cats touch easily.,0,2150
I know two men behind myself.,0,1262
Was been hit by Bill by the baseball.,0,6137
Speaking not English is a disadvantage.,0,4492
"Despite of his limited educational opportunities, Abraham Lincoln became one of the greatest intellectuals in the world.",0,3497
I want Bradley that left.,0,6098
The imposition of the government of a fine.,0,8246
Jean moved at the table.,0,2164
I weighed the package ten pounds.,0,3411
"The sooner you call, the more carefully I know a man that will word the letter.",0,202
Did Medea poison who?,0,8083
Bill dried at the clothes.,0,3265
John is prouder of having gone than John expected me not to believe he would be.,0,1542
John convinced to sleep.,0,7666
Celia brushed.,0,2204
What she considers is John proud of his work.,0,7585
Mary prefers that Bill will come.,0,7449
Sally enough eats caviar.,0,5377
Jean moved at the table.,0,2164
"I know which book Max read, and which book Oscar hasn't done so.",0,941
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.",0,886
"Sally might be, and I know a girl who definitely is pregnant.",0,1726
Who did that Plato loved prove to be his undoing.,0,8120
Bill cried Sue to sleep.,0,78
I sent she away.,0,8194
Those are the folks that you just solve this problem and you'll be able to put them on ice.,0,306
He liked Anson.,0,8156
Readings Shakespeare satisfied me,0,8439
The student met John came.,0,4901
The man who I gave John this picture of was bald.,0,1980
John hurt John with John's umbrella when John tried to open it.,0,7510
She held the paper from him.,0,2763
It has raining every day for the last week.,0,4558
I lent the book all the way to Tony.,0,2102
Mary thinks whether Bill will come.,0,7445
That John coughs loves Bill.,0,4067
I doubt if you to help me in understanding this.,0,3567
Linda winked her nose.,0,3137
Jason intended for he to learn magic.,0,8016
What did Bill confirm that Roger had eaten?,0,1929
There ran a little boy in the yard.,0,2453
Bill and Mary washed himself.,0,1961
I sent she away.,0,8194
Paula spanked her right hand into the naughty child.,0,2822
There run many people.,0,7625
"The contestant, who is the judge's brother-in-law, who won the first prize sang dreadfully.",0,4948
The children were in their rooms or happily.,0,3679
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,0,305
The song sang.,0,2963
Nathan showed to Benjamin it.,0,8273
I washed me.,0,4244
Jason killed.,0,8057
Which boy's guardian's did we elect employer president?,0,1371
The pitchfork loaded the truck.,0,2398
Who did you believe that to kiss seemed wrong?,0,7763
"Because never had Sir Thomas been so offended, Mr Yates left.",0,6777
Aunt Mary made the boys all a good mother.,0,742
The Ferrari which Pietro bought from me and Sofia adores him cost him a bundle.,0,1300
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",0,302
Carmen obtained a spare part to Mary.,0,2749
The thief stole Mr. Smith the painting.,0,2656
He's the happiest that we ever talked to the boy who had seen him.,0,1706
"Bill seems to be obnoxious, but I don't think that Sam tends.",0,495
She always wore herself.,0,3181
Sam may be had been interrogating by the FBI.,0,4575
Which books did Robin talk to Chris and read?,0,7039
John didn't see Mary and Bill Sue.,0,7102
It is Kim on whom that Sandy relies.,0,5139
Which temple did Athena contemplate the reason that her devotees had built?,0,8489
Bill kissed herself.,0,5571
He will eats deep fried muffins.,0,6016
That that John showed up pleased her was obvious.,0,1126
Tamara poured the bowl with water.,0,2274
Cynthia munched at peaches.,0,3121
Who did you ask whether Mary knows why John likes?,0,355
I do not be happy.,0,4474
I have half a dozen of these marbles too many.,0,5467
We ate at.,0,5700
She always wore.,0,3183
Connie has become of the opinion that we should get out.,0,7015
Aunt Mary made the boys all a good mother.,0,742
What kind cf parakeets are they investigating all people owning?,0,1452
Jason arrived by Medea.,0,8265
He washed myself.,0,3514
Conflict engenders.,0,2965
"Clearly, John immediately will probably learn French perfectly.",0,692
The door hit.,0,2168
They expected us to should leave him.,0,4454
Brown equipped a camera next to Jones.,0,2735
Joe is taller than I think Mary.,0,1560
He's the happiest that I've ever seen him drunk and.,0,1710
The secretary transcribed the record with the speech.,0,2929
Rich we have impeccable taste.,0,999
"The contestant, who is the judge's brother-in-law, who won the first prize sang dreadfully.",0,4948
Kim alienated cats and beaten his dog.,0,7029
John placed him busy.,0,3892
Which city and to which conference did Bill go to?,0,6574
Melissa searched a clue in the papers.,0,2348
Brown equipped a camera next to Jones.,0,2735
On the line there are drying a lot of clothes.,0,3271
There ran a little boy in the yard.,0,2453
Someone did Medea poison.,0,8325
Carla shoveled the walk of snow.,0,2649
I praised.,0,7694
Tracy has become a republican and of the opinion that we must place nuclear weapons in Europe.,0,7019
Not more reliable a man could be found.,0,5451
I don't know the boy the flowers who Mary gave to.,0,1829
"They want to hire someone who speaks a Balkan language, but I don't know which language.",0,6308
Which trombone did the nurse polish and?,0,1270
I believe that the problem is not easy to be obvious.,0,5044
This rock is too heavy for me to begin to decide about helping Bob to try to pick up.,0,1789
I dislike it for him to tickle myself.,0,1446
the my dog is a terrier.,0,3646
John made Mary cooking Korean food.,0,4012
"The harder it rains, the faster who runs?",0,297
John kisses often Mary.,0,352
This doll is hard to see it.,0,5018
This building got than that one.,0,62
This fact is key.,0,4196
Tony broke the wall with the cup.,0,3239
The handle detached from the box.,0,2905
"The lady singing with a boy is a genius, isn't she?",0,3739
Who did you say my talking to would bother Hilary?,0,7035
The thief chased.,0,3401
Sodium is a little too peppy for me to want to try mixing and water in a teacup.,0,1792
John is eager to find.,0,5024
Peter is the old pigs.,0,8456
John perfectly shot the ball.,0,698
1 put the book after the party on the table.,0,5307
The kennel in which Mary made and Fido sleeps has been stolen.,0,6556
That new handle detaches from the box easily.,0,2909
I lent the book most of the way to Tony.,0,2103
John convinced there to be several firemen available.,0,7675
Martha carved the piece of wood from a branch into a toy.,0,2297
Tuesday was slept on by George Washington.,0,2440
To which man did you talk to?,0,4753
The house constructed.,0,2948
New York was slept in.,0,4719
What Henry found is Bill sad.,0,7586
The kennel in which Mary made and Fido sleeps has been stolen.,0,6556
Kim put the book.,0,3984
John studied carefully Russian.,0,7437
"I'll turn the radio down, but I won't up.",0,935
Kiss pigs is my happiest memory,0,7751
Goes John to school?,0,7443
She knocked himself on the head with a zucchini.,0,5576
There arrived by Medea.,0,7723
We talked about that our perspectives had changed over the years and the issues we had worked on as students.,0,7124
Sam offered the ball off the shelf.,0,2049
"They can't stand each other, them.",0,1847
I enjoy him taking a bath.,0,830
The box at once contained the ball.,0,526
It is vital that we will study everyday.,0,4422
The committee hasn't yet made up their mind.,0,4240
There is any book by Chomsky in this library.,0,6465
I gave a picture of a covered bridge and to my sister a hundred hikers from Hoboken.,0,1723
Who do you regret saw you?,0,6533
Who does Phineas know a girl working with?,0,1208
They have no old.,0,3533
I gave Jack Ed's picture of myself.,0,1983
Rub the cloth on the baby asleep.,0,643
Paula spanked her right hand against the naughty child.,0,2820
My eyes are itching my brother.,0,3160
"Near everyone Angleton did, Dulles stood.",0,919
The politician denied how the opponent was poisoned.,0,4859
The store staffed with employees.,0,2605
Any pilot must be flying this plane.,0,6357
"Because in came Aunt Norris, Fanny stopped talking.",0,6761
The hot potato had several hundred people yelling for me to put it down gently.,0,1912
To please John is eager.,0,5004
The squirrel ran straight quickly.,0,3669
She knocked himself on the head with a zucchini.,0,5576
Constant reading Shakespeare satisfied me,0,8530
Seven more came in after ten soldiers had left.,0,1581
John placed the flute the table.,0,5930
John learned French immediately perfectly.,0,691
I noticed car in the driveway last night your friend from Boston.,0,1862
The committee has all now resigned.,0,4216
Heidi investigated that John ate the cauliflower.,0,6045
He's the bit of a gossip.,0,5430
Has not the potion worked,0,7932
The picture of no one hung upon any wall.,0,8440
Peter is the old pigs.,0,8456
They are readable of the paper.,0,7409
The tornadoes that tear through this county every spring is more than just a nuisance.,0,3737
Pat cured of pneumonia.,0,2660
much armchair is needed.,0,3464
"Any student, who wears socks, is a swinger.",0,1873
I am having eaten seaweed.,0,7950
Marlene dressed her body.,0,3173
Where did you give the ball?,0,2024
The more people I ask what he will give to the more he reads.,0,188
Phyllis lingered Sasha over lunch.,0,3405
The room contains many furniture.,0,3468
"The more articles he reads, the fewer people he thinks that will go into linguistics.",0,206
John met in the park a student.,0,3917
Every student answered any question.,0,6503
"I know which book Mag read, and which book Bob asked why you hadn't.",0,912
Carol carved the tree on the branch.,0,2861
The UN blamed global warming on humans on natural causes.,0,3900
Only the travelers who anybody has ever robbed don't carry machetes.,0,1936
They said him to be rich.,0,4659
The spoon ate the ice cream.,0,2396
"The more John eats, the tighter keep your mouth shut about it.",0,130
It is deadly afraid of flying that John became.,0,7213
The car had a yellow collar on the dog which it injured.,0,1907
I sought the woods for game.,0,2357
Yesterday John talked to any woman.,0,6429
The student knowing the answers.,0,3996
Tamara poured the bowl with water.,0,2274
Fifteen dollars in a week are not much.,0,4157
Wash himself.,0,3520
It seems to be a fountain in the park.,0,4318
Carrie touched the stick through.,0,2843
Who do you regret you saw?,0,6532
Sally wishes that everyone would praise herself.,0,4253
You give every senator enough opportunity and he will succumb to corruption.,0,270
Dogs chase.,0,6628
I sent Bill money to Mary to Sam.,0,7691
The students looked the high stairs up.,0,3595
Bill kissed herself.,0,5571
Kiss himself.,0,5573
The squirrel is right angry.,0,3668
I considered Fred after the party crazy.,0,5306
I stalked for game in the woods.,0,2350
Because in came Aunt Norris Fanny stopped talking.,0,6775
He's the happiest that I've ever seen him drunk and.,0,1710
Linda winked his eye.,0,3138
John is not more reliable a fellow than Bill.,0,5454
him belief that Mary kissed Bill is mistaken.,0,777
Him book,0,8462
I heard John's criticism of myself.,0,7554
The box contained the ball to the ground.,0,527
it convinced Bill that Mary should sleep.,0,7670
Jennie smiled the sandwich.,0,5925
The cook boned the fish of its backbone.,0,2485
Dry the baby with the cloth torn.,0,647
Fred knows which politician for her to vote for.,0,4828
John leftn't the party early.,0,4377
Amanda drove at the package.,0,2705
John wonders where him to go.,0,418
They want to are kind to her.,0,3992
Nora sent at the book to Peter.,0,2671
the box contains little tool.,0,3477
The bed was fallen on by the dust.,0,6135
I wanted he should leave.,0,6041
What Medea believed was Jason to be a murderer.,0,8121
Five pounds are a lot of money.,0,4153
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",0,264
Bill sent London a package.,0,2266
Gary and Kevin ran himself into exhaustion.,0,5581
The proposal did be endorsed by Clinton.,0,4472
They said him to be rich.,0,4659
"The louder who talks, the angrier you get?",0,298
How brave they must believe the claim that you are!,0,1627
There soared oil in price.,0,3276
Kim beaten his dog and alienates cats.,0,7032
John meets often Mary.,0,960
I loved intensely the policeman with all my heart.,0,5796
The characters in Shakespeare's Twelfth Night lives in a world that has been turned upside-down.,0,4142
I'm glad I saw anybody.,0,5235
Sodium is a little too peppy for me to want to try mixing and water in a teacup.,0,1792
The silversmith pounded on the metal flat.,0,2500
I gave Jack Ed's picture of myself.,0,1983
The authorities charged the students of the cheating.,0,4105
"Always, any lion is majestic.",0,6378
I whipped the eggs from a puddle into a froth.,0,2298
Amanda carried at the package to New York.,0,2693
I've seen as much of a coward as Frank.,0,5420
Who do you regret you saw?,0,6532
I kicked yourself,0,8285
Who does Phineas know a girl working with?,0,1208
In the box put John the book.,0,3931
Constant reading Shakespeare satisfied me,0,8530
I must can eat plums.,0,6002
Headway was unmade.,0,464
Kim has wondered that Gary stayed in the room.,0,4804
I wonder who what bought?,0,454
I saw Mary and downtown yesterday your friend from Boston.,0,1860
I read these big three books.,0,7490
"His expectations lower, the higher the stakes.",0,168
We elected the man who he had brought with him president.,0,1151
John expect to must leave.,0,4481
What she did was know this theory.,0,6937
The man's standing over there hat impressed me greatly.,0,5825
Pat cured of pneumonia.,0,2660
The doctor arrived a new actor.,0,8414
What table will he put the chair between and some sofa.,0,1267
Medea wondered if that the potion was ready,0,7986
Who is he reading a book that criticizes?,0,449
The elevator rumbled itself to the ground.,0,83
It said that Kim was happy.,0,4348
There was he in the garden.,0,7963
"It is important the more you eat, the more careful to be.",0,140
Here's a razor for that you will be shaved with to be announced.,0,1654
Did that he played the piano surprise you?,0,1440
The president declared Smith as press secretary.,0,2970
I believe that the world is round strongly.,0,5071
I believe that the problem is not easy to be obvious.,0,5044
Heidi investigated John ate the cauliflower.,0,6046
It was kissed the puppy.,0,6108
Ellen warned for Helen to come.,0,3093
"Tom picked, and I washed some turnips, and Suzie will prepare, these grapes.",0,1306
Cheryl stood the shelf with books.,0,2551
The painting stole from the museum.,0,2658
I raw eat fish drunk.,0,842
That him won the race could surprise them.,0,7275
It was John's that I stole bike.,0,1684
I think if John likes his beer.,0,5950
It's high time Fiona gets a job.,0,6986
They can very.,0,3542
Packages drive easily.,0,2710
I kicked me,0,8444
Tom tends for Mary to avoid confrontations.,0,4051
Any lion is rare.,0,6423
"Will put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",0,7190
Nathan showed to Benjamin it.,0,8273
What did Bill confirm that Roger had eaten?,0,1929
Megan loves.,0,5900
John would be preferred to be the candidate.,0,504
Who do you believe that invited Sara?,0,4783
The old and new carts banged.,0,2832
That gets you so involved is the writer.,0,5111
He does may leave here.,0,4470
Fanny stopped talking when in came Aunt Norris.,0,6778
John slipped in front of anyone who was there.,0,6483
the my dog is a terrier.,0,3646
Whiskey do I drink.,0,7740
The fig chuckled,0,8025
She always clad herself in black.,0,3188
few evidence was provided.,0,3480
Tony has a Fiat to yearn for a tall nurse.,0,1284
The secretary transcribed the record with the speech.,0,2929
Ellen and Helen conferred together.,0,3079
Calvin not will eat the beef waffles.,0,6006
He's a too reliable man.,0,5441
Wash himself.,0,3520
Can will he do it?,0,8035
My nephew could write letters the postcards to his parents.,0,7295
Better you not drink.,0,4520
I insist in seeing all the students who started out the term in my class through.,0,1156
Ayala went to the ball and Jonathan Stubbs chatted to.,0,6806
Bob is too thin for me to be able to squeeze into jacket.,0,1796
Bill understands himself and Mary.,0,1960
They are readable of the paper.,0,7409
"Who had Poseidon run away, before the executioner murdered?",0,8336
I doubt if you to help me in understanding this.,0,3567
I handed the ball.,0,7348
The foxes seem compatible for the chickens.,0,4021
"The most you want, the least you eat.",0,103
Did that Medea killed her children upset Jason?,0,8175
The captain named the ship as Seafarer.,0,2390
when time will you be there.,0,7878
It seemed to be intelligent.,0,4308
The hot potato had several hundred people yelling for me to put it down gently.,0,1912
I gave the package to London.,0,2028
He kicked herself,0,7792
To whom is she trying to make up now?,0,1391
Any woman standing under that tree is Mary's friend.,0,6410
There ran a little boy in the yard.,0,2453
Calvin not will eat the beef waffles.,0,6006
Mira blamed the accident on Terry.,1,2340
Mark terrified me with his single mindedness.,1,2380
I forgot to return the book that I borrowed from the teacher.,1,3695
He dared not argue against his parents.,1,4545
I had the strangest feeling that I knew you.,1,8549
Susan hopes that she will sleep.,1,7637
The cottage which Mrs Dashwood accepted was very small.,1,6730
Gilgamesh hasn't kissed Ishtar.,1,8544
There exist few solutions which are cost-effective.,1,4030
It has rained every day for the last week.,1,4557
Everyone likes himself.,1,7551
Mary told Bill that John was elected.,1,4907
The ball kicked a man.,1,3427
The jeweller inscribed the ring with the name.,1,2331
The window broke from the force of the wind.,1,607
I prefer for the girl to put a picture there.,1,7253
What John told us is that he wants to quit school.,1,7216
Reading Shakespeare satisfied me,1,8526
Mary did not avoid Bill.,1,4396
Who do you think you saw?,1,6530
A man kicked that ball.,1,3672
Has Bill eaten his tuna?,1,5989
Birds sang in the trees.,1,3206
You walk.,1,6114
The men would not all have been working.,1,5263
Clinton supported the health care bill.,1,3948
Mary swam as many more laps than Joan as Linda.,1,5569
George gave Jessica the book.,1,5887
I showed few boys any of the books.,1,1006
Catherine did her homework.,1,5986
Pick any flower.,1,6448
Aliza wriggled her tooth loose.,1,97
Donna fixed a sandwich for me.,1,2942
He washed himself.,1,3512
His yearbook picture gives Tom the creeps.,1,5769
Linda taped the box with two-sided tape.,1,2481
That Louise had abandoned the project surprised everyone.,1,3717
Every child should have a daily glass of milk.,1,5219
The shock touched off the explosion.,1,1106
Cynthia nibbled at the carrot .,1,3104
She speaks too clearly.,1,5415
That our perspectives had changed over the years and the issues we had worked on as students were the topics of discussion.,1,7125
"We like our friends and they like their friends, too.",1,946
Edmund wanted Fanny to be able to ride a horse.,1,6794
Every boy named every planet.,1,1012
Sam gave the cloak to Lee and the magic chalice to Matthew.,1,8230
The president appointed Smith as press secretary.,1,2387
The woman who was here believed that the man was ill.,1,6588
I shipped the package all the way around the world.,1,2041
What did she eat?,1,8144
I wanted Jimmy for to come with me.,1,8332
"Sally might be pregnant, and I believe that Sheila definitely is pregnant.",1,1728
Nora brought Pamela the book.,1,2685
I have six too many marbles.,1,5462
Isn't Bill sick?,1,7462
Phyllis dyed the dress.,1,2913
John tries not to meet Mary.,1,963
You may pick any five flowers.,1,6446
Bill is sick.,1,7635
The butler polished the silver.,1,2421
The joggers ran their Nikes threadbare.,1,764
Benjamin gave Lee the cloak.,1,8445
The clown amused the little children.,1,2992
To train his horse would be desirable.,1,4070
"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,208
I've got to try and I've got to find that screw.,1,7062
The man that chased Fido returned.,1,6517
Aphrodite frees animals,1,7728
The agents caught the terrorist.,1,570
The torpedo sank the boat.,1,6144
Bill's mother's friends are waiting at the restaurant.,1,7231
The builders made the wall with concrete blocks.,1,6924
"Because they hated him, the druids forced Jason to live in a cupboard",1,7830
Tom ran the soles off his shoes.,1,3387
He looked at a book about swimming.,1,3704
"We didn't keep a list of the names, but the President thanked every soldier who had fought in the Gulf War.",1,6406
I cut the bread with this knife.,1,2225
The train reached the station fully.,1,624
The baby is heavy.,1,6889
The army destroyed the palace.,1,6327
It would be difficult to please John.,1,5274
Kick them!,1,8476
That anybody ever left at all is impossible.,1,1992
Pavarotti relied on Loren and Bond on Hepburn.,1,4687
The cup emptied of water onto the ground.,1,653
I'll work on it if you do.,1,1600
It was such an awful picture that I tore it up.,1,5487
Betsy loves herself in blue leather.,1,5620
The puppy was kissed.,1,6104
Carol cut herself on the thumb.,1,2852
The color red seems to be his favorite color.,1,4288
Cornelia lodged with the Smiths.,1,3278
"John, because he's such a nice guy, would like that.",1,5296
For John to train his horse would be desirable.,1,4069
The writers of none of the reports.,1,1973
"I'm not shocked by the idea that the more you eat, the less you want.",1,108
John inquired which book he should read.,1,4794
John wagered there to have been a stranger in that haunted house.,1,819
Tony broke the crystal vase.,1,3236
John has a hole in the upper right-hand corner of his quilt.,1,1892
He seems intelligent to study medicine.,1,4015
Jason intended for him to learn magic.,1,7812
It is an argument that people think will never end in Egypt.,1,4910
Ivan got a headache on Wednesday from the disgruntled students of phonology from Michigan.,1,5813
The room reeked of onions.,1,3214
Fred must both have been singing songs and have been drinking beer.,1,4398
John's quilt has a hole in its upper right-hand corner.,1,1890
The mouse nibbled the cheese.,1,2250
John seems to fix the computer.,1,4258
Most dragons have been neutered.,1,7707
Mary talked to any student who was angry.,1,6435
We decided to paint the bathroom a lurid lime green colour.,1,8095
Matt kissed her.,1,6166
Tom offered advice to his students with love.,1,3889
Fred gave flowers to his sweetie because Frank had.,1,938
Juliet says that Romeo lies to his parents a lot.,1,5740
The two boys looked the word up.,1,3589
"José ate cabbage, and Holly has too.",1,846
Any pilot must be out flying planes today.,1,6438
"When John eats more, keep your mouth shut tighter, OK?",1,132
How likely to win is he?,1,5285
He gave that girl my binoculars.,1,1922
"This information could have been released by Gorbachev, but he chose not to.",1,956
I was hunting.,1,3022
Any bird flies.,1,6426
Students sent letters to the teacher.,1,3578
"Intelligent though he may seem, he does not seem deep.",1,5312
The boys all should could go,1,8497
A loud cry echoed through the hall.,1,3310
She swatted him.,1,6111
Alison poked the needle through the denim.,1,2838
the box we put the books in is sealed.,1,4931
Where did you send the bicycle? To Rome.,1,2026
They investigated the problem.,1,4868
I went to the store and bought some whiskey.,1,7047
Those pigs love truffles,1,8432
The window was broken by a hammer.,1,6900
Mike quipped that she never wore this hat.,1,1444
Brandon read every book that Megan did.,1,6311
Bill cooked the rice.,1,7676
My eyes are itching.,1,3158
He has a rail pass that's right for you.,1,3690
I hit the ball.,1,316
They ignored the suggestion that Lee lied.,1,4991
The committee was unanimous in their decision.,1,4214
I spared him the trouble.,1,5671
Mary has more friends than just Bill and Pete.,1,5551
Traci gave the whale a lollipop.,1,5874
Ellen complained about the situation to Helen.,1,3087
"It's obvious that, although he's a nice guy, John isn't too bright.",1,5300
"John asked me to put the clothes in the cupboard, and to annoy him I really stuffed them there.",1,3635
She would never believe that story.,1,4382
Everyone of us be given a prize.,1,4231
Those days Bill offered Mary everything he cooked.,1,6476
The president's bodyguard learned surveillance.,1,4126
Tourists admire paintings.,1,2999
Mary is faster than John is.,1,8186
The cats ate the spider.,1,5660
I both went to the store and bought some whiskey.,1,7063
The sky cleared.,1,2287
"How much harder has it rained, the faster a flow you see in the river?",1,128
"Bob is very serious about Mary, but less so than Paul.",1,5781
Harry likes movies.,1,7279
Paula hit at the fence.,1,2243
Terry touched the cat.,1,2147
The building's roof is leaking.,1,5823
Students objected to the teacher.,1,3577
"Sandy must have, too.",1,4538
They want to write to her.,1,3989
Mary always prefers lemons to limes.,1,1075
Frank threw himself into the sofa.,1,3865
Paul had an affair,1,8312
I sent a book to Louis.,1,6149
Enough is going on to keep them confused.,1,5364
Stephen seemed to be intelligent.,1,4276
There lived a man with his grandson.,1,3832
Which report that John revised did he submit?,1,1074
Maggie hurried her sister.,1,3408
The joggers ran their Nikes threadbare.,1,764
There are strangers in that garden.,1,811
To behave oneself in public is expected.,1,6263
John loves his puppy.,1,6345
"I think that Mort's a swell guy, and Lenny thinks so too.",1,1610
Her little sister will disagree with her.,1,7411
Martha said that Bill loved his Cheerios in the morning.,1,5864
Fruit at once hit the roof from the tree.,1,532
The student loved his phonology readings.,1,5692
John has a hole in the upper right-hand corner of his quilt.,1,1892
Julie became a fond of Lloyd.,1,8132
Heidi thinks that Andy eats salmon flavored candy bars.,1,5964
Chew the biscuit!,1,6892
He rowed Penny across the lake.,1,3390
Which poem did you go to hear a recital of last night?,1,7877
the book of poems by Robert Burns with a red cover from Blackwell takes a very long time to read.,1,5787
The people in whose house we stayed left.,1,4924
Anson tried to shave himself.,1,8275
I think that John likes his beer.,1,5947
Gilgamesh misses Aphrodite,1,8357
The analysis of the problem was flawed,1,8279
John and the man went to the store.,1,5704
the barge piled high with logs.,1,586
Louis hinted Mary stole the purse deftly.,1,5757
I sent the package to London.,1,2029
Jean wants Robert.,1,6247
The constant rain forced the abandonment of the next day's competitions.,1,4112
All special rights of voting in the election were abolished.,1,4210
I showed few boys any of the books.,1,1006
I bled him.,1,3219
Ellen said to Helen that melons were selling well.,1,3081
No one believes that he is a fool.,1,4630
What did he get the impression that the problem really was?,1,4971
Any owl hunts mice.,1,5176
There is a blemish on the end of Jerry's sister's nose.,1,1895
Alison poked the needle through the cloth.,1,2834
Kim is happy and Sandy is too.,1,4533
We loaded ourselves onto the bus.,1,2207
I praised Mary.,1,7693
For Anna to tickle him drives Frank crazy.,1,1448
The statue stood on the pedestal.,1,2191
John deposited some money in the bank on Friday.,1,3899
I went to the store to buy some whisky.,1,1283
The puppy licked the kitten's face.,1,5741
Merlin is extremely evil.,1,8135
John talked to absolutely any woman who came up to him.,1,6385
Which Greek authors does he have books by?,1,1353
It is not true that it was obvious that for Herschel to throw a fit would confuse the guards.,1,1477
Maxwell isn't half the doctor that I'm certain that he would be if he studied.,1,1702
I handed the ball to Reg.,1,7347
Carol carved the marble.,1,2864
Who poisoned who?,1,8010
Paul exhaled.,1,3131
The shooting of the hunters was very loud.,1,7849
That he is a fool is suspected by no one.,1,4632
Tom will force you to marry no student.,1,1971
They wanted to leave tomorrow or on Tuesday.,1,7023
We convinced him that the operation is safe.,1,4086
I doubt his sincerity.,1,5666
Shirley seems to have Fred promoted.,1,4704
John was driving the car.,1,4636
You and I are as little alike as a horse and a cow.,1,5354
He is writing another long book about beavers.,1,3998
the rice was cooked by Bill.,1,7677
Paula hit Deirdre on the back.,1,2798
The new policy was approved by the executive committee.,1,4608
Hard work resulted in high grades.,1,553
That Bill tried to discover which drawer Alice put the money in made us realize that we should have left him in Seoul.,1,4851
John spoke intimately to Mary.,1,701
It was with a great deal of regret that I vetoed your proposal.,1,5156
Bill is always complaining about the guys who work near him.,1,6218
He said that that ` that ' that that man used was wrong.,1,3500
Sir Walter Elliott imagined that he was still handsome.,1,6737
What we are using is their teaching material.,1,5117
