sentence1,sentence2,label,idx
""" This is not a scaled-down version of the Oracle Enterprise Edition or Standard Edition [ database ] .",The Standard Edition One is a single processor version of the Oracle Standard Edition Database .,0,2684
President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960 .,""" But success requires more than American assistance , "" Bush said in the first speech to a joint session of Philippine Congress by a U.S. president since Dwight Eisenhower in 1960 .",0,3846
"Against the Swiss franc CHF = , the dollar was at 1.3172 francs , down 0.60 percent .",Against the yen the dollar was down 0.7 percent at 110.73 yen .,0,348
"While opposition parties have welcomed the cabinet 's decision on anti-retroviral treatment , some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan .","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan , according to some opposition parties .",0,3663
The series will be known as the NASCAR Nextel Cup .,Before that the division was known as the NASCAR Grand National Series .,0,3609
""" I do not wish to be present during this witness , "" he told Stanislaus County Superior Court Judge Al Girolami .",""" Yes , I do not wish to be present during this witness , "" Peterson , 31 , calmly told the judge as he was returned to his cell .",0,1922
Boeing 's board is also expected to decide at its December meeting whether to offer the airplane for sale to airlines .,It is widely expected to give Bair formal approval to offer the plane for sale to airlines .,0,2299
Catholic Church officials reported that two miners were killed and six other protesters injured 50 miles ( 110 km ) outside of La Paz .,A Catholic priest said two miners were killed and nine other protesters injured 110 kilometres outside La Paz as a convoy of miners threw dynamite at soldiers manning a roadblock .,0,1623
A total of 114 soldiers were killed in the active combat phase that began March 20 .,A total of 114 U.S. soldiers were killed between the start of the war March 20 and the end of April .,0,1219
""" There are some who feel that if they attack us , we may decide to leave prematurely , "" Mr Bush said at the White House .",""" There are some who feel like conditions are such that they can attack us there , "" Bush told reporters at the White House on Wednesday .",0,3150
The German finance ministry on Monday said there was no case for softening .,"Finnish Finance Minister Antti Kalliomaki said : "" There is no room for a softening . """,0,3562
"Last year , he was forced to repay $ 3,000 in bar tabs that he and his staff incurred while he was labour minister but had originally billed to taxpayers .","Last year , Stockwell was forced to repay $ 3,000 in bar tabs that he and his staff rang up while he was labour minister .",0,1578
"Months later , another clinic doctor , Dr. Wayne Patterson , was killed away from the clinic .","Months later , an unknown shooter killed Dr. Wayne Patterson , who ran Gunn 's clinic .",0,1198
July 18 : Hurlbert files a single count of felony sexual assault against Bryant .,"Bryant , 24 , has been charged with felony sexual assault .",0,2220
"The U.S. military on Dec. 2 began a large-scale sweep , dubbed Operation Avalanche , targeting the south and east of the country , where Taliban activity has been highest .","Since Dec. 2 the U.S. military has been engaged in a large-scale sweep , dubbed Operation Avalanche , targeting the south and east of the country .",0,3924
The FBI later learned that two of the hijackers had lived near Awadallah in San Diego .,The government charged that Awadallah knew both hijackers when they lived in the San Diego area .,0,3075
But it is clear that the Joint Intelligence Committee was not involved .,This report was cleared by the Joint Intelligence Committee .,0,3138
"The highly integrated amplifiers for driving microphone and speakers , the part requires only minimal external components .","With integrated amplifiers for driving microphone and speakers , BlueCore3-Multimedia is available in LFBGA package .",0,3446
"But Davis adviser Roger Salazar said the governor 's focus is on his job , not the recall petition .","But Davis adviser Roger Salazar said the governor 's focus "" is on doing the work that he 's being paid to do . """,0,1250
"While opposition parties have welcomed the cabinet 's decision on anti-retroviral treatment , some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan .","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan , according to some opposition parties .",0,3663
Late trading : Placing a buy order for a mutual fund after 4 p.m. ET and getting it at that day 's closing net asset value .,Forward pricing : Law that states mutual fund shares bought after 4 p.m. ET are priced at the next day 's closing net asset value .,0,2526
"The Dow Jones Industrial Average held on to small gains , up 19.96 to 9,092.91 , while the S & P 500 index shed 0.39 to 981.25 .","The Dow Jones industrial average was up 17 points to 9,090 , while the Nasdaq composite index fell 10 points to 1,601 .",0,1549
"That was a reversal from a loss of $ 35 million , or 20 cents , a year earlier .","Net income was 12 cents a share , compared with a net loss of $ 35 million , or 20 cents , a year earlier .",0,1164
"Today , the Columbia Accident Investigation Board will issue its findings on what caused the accident .",The Columbia Accident Investigation Board has placed the blame for the accident squarely on Nasa .,0,3801
"For the year , Marvell expects revenue of $ 760 million to $ 790 million .","Marvell Technology also reported revenue of $ 168.3 million , exceeding the First Call estimate of $ 162.6 million .",0,3052
DeVries did make one stop in town Wednesday - registering as a sex offender at the Soledad Police Department .,Convicted child molester Brian DeVries spoke out in response to community outrage Wednesday afternoon after registering as a sex offender at the Soledad Police Department .,0,1207
"Graham , a presidential candidate , was criticized by several Republicans as ' ' politicizing ' ' the report .","Graham , who co-chaired the inquiry , is a presidential candidate .",0,2123
"The broader Standard & Poor 's 500 Index .SPX ended up 1.03 points , or 0.10 percent , at 998.51 , ending at its highest since late June 2002 .","The broader Standard & Poor 's 500 Index .SPX was off 1.67 points , or 0.17 percent , at 995.81 .",0,3259
A divided Supreme Court ruled that Congress can force the nation 's public libraries to equip computers with anti-pornography filters .,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters , rejecting librarians ' complaints that the law amounts to censorship .",0,1095
"The street-racing sequel "" 2 Fast 2 Furious "" won the pole position at the box office , taking in an estimated $ 52.1 million in its opening weekend .","The PG-13 sequel "" 2 Fast 2 Furious "" raked in an estimated $ 52.1 million during its opening weekend , jumping over last weekend 's catch , "" Finding Nemo . """,0,766
Hampton Township is just northeast of Bay City and about 100 miles from Bloomfield Township .,"Hampton Township is located a few kilometers northeast of Bay City , near Michigan 's Thumb .",0,2468
"That compares to a net loss of $ 6.6 million , or 47 cents per share , on revenue of $ 15.5 million in 2002 's second fiscal quarter .","In the first quarter , SCO had reported a net loss of $ 724,000 , or 6 cents per diluted share , on revenue of $ 13.5 million .",0,2768
"Because of the distance between the two chambers , the eventual conference between House and Senate tax writers promises to be intense and possibly rocky .","The eventual conference between House and Senate tax writers promises to be intense and possibly rocky , even though all the principals will be Republicans .",0,3865
Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .,Shinseki 's career included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia .,0,2007
"The company 's operating loss rose 59 percent to $ 73 million , from $ 46 million a year earlier .",Operating revenue fell 4.5 percent to $ 2.3 billion from a year earlier .,0,220
The parents want her kept alive ; her husband says she never wanted to be kept alive artificially .,Michael Schiavo has argued that his wife never wanted to be kept alive artificially .,0,1795
The group expects to roll out the first products by the second half of 2004 .,The new group ambitiously expects to issue guidelines by the end of the year and release products by late 2004 .,0,3530
"Authorities in Ohio , Indiana and Michigan have searched for the bodies .","So far , authorities also have searched areas in Pennsylvania , Ohio , Indiana , and Michigan .",0,3467
Goold said reporters ' calls to Peterson may have been monitored .,Prosecutors said interviews Peterson gave reporters may have been monitored in case the fertilizer salesman confessed .,0,1105
"Cullen is replacing former chief privacy officer Richard Purcell , who left earlier this year .",The job had been vacant since Richard Purcell left earlier this year .,0,3976
Webster Police Chief Gerald Pickering said the victims appeared to be customers of the bank .,"One of the shooting victims died , according to Webster Police Chief Gerald Pickering .",0,3487
"Britain has said it will oppose articles calling for closer coordination of tax and economic policy , to uphold the national right of veto .",Britain has said it wants to haggle over articles of the draft calling for closer coordination of tax and economic policy .,0,3635
"The Hubble Space Telescope 's newest picture of Mars shows summer on the Red Planet just as it makes its closest pass by Earth in 60,000 years .","The pictures were taken late Tuesday and early Wednesday as the as the planet made its closest pass by Earth in 60,000 years .",0,3574
"More than 60 suspected cases have been reported in the United States , none of them fatal .","Sixty-five probable cases of SARS have been identified in the United States , along with 255 suspected cases .",0,2479
"The San Jose-based company posted a net income of $ 64.2 million , or 27 cents per share , in the quarter ended May 30 .","That was up from the year-ago quarter , when the company earned $ 54.3 million , or 22 cents a share .",0,1466
"In that same time , the S & P and the Nasdaq have gained about 3.5 percent .","The Nasdaq composite gained 4.78 to 1,955.80 , having edged up 0.1 percent last week .",0,605
"Actor Noah Wyle , who has played Dr. John Carter since the shows inception in 1994 , extended his contract with the show through the 2004-2005 season .","Noah Wyle , who has played Dr. John Carter since the series launched in 1994 , has inked a one-year extension to his deal with producer Warner Bros. TV .",0,2476
"Police investigating a fatal hit-and-run accident conducted a search Monday at the home of Bishop Thomas O 'Brien , head of the Roman Catholic Diocese of Phoenix .","Police investigating a deadly hit-and-run accident went to the home of Phoenix 's Roman Catholic bishop on Monday and found the windshield of his car caved in , authorities said .",0,2840
"Durst was acquitted this week in the murder of his elderly neighbor , 71-year-old Morris Black .","Durst , a millionaire , pleaded self-defense in the death of his neighbor Morris Black .",0,1212
"The rats that consumed the tomato powder had a 26 percent lower risk of prostate cancer death than the control rats , researchers found .","Rats on the tomato powder diet had a 26 percent lower risk of prostate cancer death than the control rats , allowing for diet restriction .",0,962
"Justice Clarence Thomas , joined by fellow conservative Justice Antonin Scalia , dissented .","Justice Antonin Scalia , Sandra Day O 'Connor and Clarence Thomas dissented from the ruling .",0,2117
"Sean Harrigan , president of the California Public Employees ' Retirement System , also suggested paring down the NYSE 's 27-member board , changing its composition and making it more accountable .","Sean Harrigan , president of the California Public Employees ' Retirement System , also suggested paring the NYSE 's 27-member board and allotting more seats to investors outside the securities industry .",0,2152
""" The same three Response Team members also met with Monsignor Grass , who while manifestly repentant , admitted that the allegations were true .",""" Monsignor Grass ... while manifestly repentant , admitted that the allegations were true , "" the statement said .",0,906
"Seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .","Above that , Medicare would pay 90 percent of all drug costs .",0,1742
"The technology-laced Nasdaq Composite Index .IXIC declined 25.78 points , or 1.56 percent , to 1,627.84 .","The broader Standard & Poor 's 500 Index .SPX eased 7.57 points , or 0.76 percent , at 990.94 .",0,4027
Microsoft fell 5 percent before the open to $ 27.45 from Thursday 's close of $ 28.91 .,Shares in Microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a Nasdaq close of $ 28.91 .,0,232
A West Knoxville restaurant has reported several cases of hepatitis A to the Knox County Health Department .,The news has caused a rush of people to the Knox County Health Department to get vaccinated .,0,1299
House Democrats renewed their push Wednesday for a deeper investigation into the handling of intelligence on Iraq 's weapons program .,Harman sought to strike a balance as some Democrats pushed for deeper investigations into intelligence on Iraq 's weapons programs .,0,2406
I would like to congratulate Russia on the successful World Climate Change Conference last week .,Momentous happenings at the World Climate Conference in Moscow last week .,0,1112
Friends said Frank Riva worked in construction in Manhattan and recently helped his son get into the construction workers union .,"Riva had recently helped his son , Frank Riva Jr . , get into a construction workers ' union and land a job .",0,1904
"In March , 67 percent connected through cable , up from 63 percent a year earlier .","By March 2003 , 67 percent of broadband users connected using cable modems , compared with 28 percent using D.S.L.",0,1965
"When contacted last night , Perkins declined comment .",Perkins and Kansas Chancellor Robert Hemenway declined comment Sunday night .,0,3671
The U.N. Office of the Humanitarian Coordinator for Iraq last week reported that cases of diarrhea have tripled in Baghdad .,Children get sick from drinking the water : The United Nations Office of the Humanitarian Coordinator for Iraq last week reported that cases of diarrhea have tripled in Baghdad .,0,3897
"Glover said the killer used a "" peculiar slipknot "" on the ligature he used to strangle some of the victims .","Glover said the killer used a ``peculiar slipknot , ' ' including a coaxial cable and an extension cord , to strangle some of the victims .",0,342
President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960 .,""" But success requires more than American assistance , "" Bush said in the first speech to a joint session of Philippine Congress by a U.S. president since Dwight Eisenhower in 1960 .",0,3846
"At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .",San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .,0,257
"Jakarta has boosted the number of troops and police in the resource-rich province in recent weeks from 38,000 to more than 45,000 .","While the shape of any military operation is unclear , Jakarta has boosted the number of troops and police in the resource-rich province to more than 45,000 from 38,000 .",0,1772
"Elsewhere in the diary , Truman showed a more familiar side , colorful and outspoken in his disdain for life in the White House .","History aside , the diary reveals a colorful , witty , introspective and irreverent president outspoken in his disdain for life in the White House .",0,3331
"A 25 percent increase would raise undergraduate tuition to about $ 5,247 annually , including miscellaneous , campus-based fees .","The 25 percent hike takes annual UC undergraduate tuition to $ 4,794 and graduate fees to $ 5,019 .",0,300
"The House version pays 80 percent of a senior 's first $ 2,000 in drug costs after a $ 250 deductible .","Under the House-passed plan , seniors would pay 20 percent of drug costs , plus a $ 250 deductible annually .",0,1601
"The broader Standard & Poor 's 500 Index .SPX was up 3.41 points , or 0.35 percent , at 967.00 , also its highest close so far this year .","The broader Standard & Poor 's 500 Index .SPX was down 0.04 points , or 0 percent , at 971.52 .",0,1138
A month ago a military C-17 transporter returned to Baghdad when an engine exploded .,"A month ago a military transport plane returned to Baghdad when an engine exploded in what officials called a "" safety incident . """,0,715
"The technology-laced Nasdaq Composite Index .IXIC lost 4.95 points , or 0.33 percent , at 1,486.14 .",The more broadly based Nasdaq Telecommunications Index rose 0.7 percent .,0,3026
"It reports a mailing list of 50,000 and support from about 500 congregations and 50 bishops .",The group has the support of about 215 churches and an estimated 25 bishops .,0,902
"Consolidated volume was heavy , with 2.17 billion shares traded , compared with 1.92 billion on Tuesday .","Consolidated volume was moderate , with 1.91 billion shares traded on the New York Stock Exchange , compared to 1.5 billion Monday .",0,1492
"He caused a stir by misnaming the mayor of Miami , Manny Diaz .","He greeted the mayor of Miami , Manny Diaz , as "" Alex . """,0,3837
""" It 's a huge black eye , "" said publisher Arthur Ochs Sulzberger Jr . , whose family has controlled the paper since 1896 .",""" It 's a huge black eye , "" Arthur Sulzberger , the newspaper 's publisher , said of the scandal .",0,3882
"The 30-year bond < US30YT = RR > was down 10 / 32 for a yield of 4.91 percent , up from 4.89 percent late Thursday .","The 30-year bond was down 14 / 32 to yield 4.92 percent , up from 4.89 percent on Thursday but off an earlier yield high of 4.95 percent .",0,1473
"Although Mr Sorbello was taken to hospital for a check-up , he was later released .","Mr Sorbello was taken to hospital for a check-up and later released , while Mr Pennisi thinks he may have cracked ribs .",0,3590
"Shares closed on NASDAQ just below their 52-week high , at $ 32.17 , up $ 1.54 .","Trading of EchoStar 's stock closed Tuesday at a 52-week high of $ 32.17 , up $ 1.54 .",0,1216
AMD 's chip sales jumped 7 percent year-on-year to $ 402 million .,"Second-quarter sales grew 7 percent , to $ 645 million from $ 600 million in 2002 .",0,1884
"Fighting has continued sporadically in the west , where it is complicated by the presence of battle-hardened Liberians on both sides .",Both are in the cocoa-growing west of the world 's top producer in a region where fighting is complicated by the presence of Liberians on both sides .,0,2140
The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest .,"Razali Ismail met for 90 minutes with Suu Kyi , a 1991 winner of the Nobel Peace Prize , at her lakeside home , where she is under house arrest .",0,1956
"The US responded coolly to the EU deadline , warning that trade sanctions would backfire by hurting European consumers .","The US administration responded coolly to the EU deadline , warning that trade sanctions would backfire by hurting European consumers but pledging "" to comply with our international obligations "" .",0,1558
"The 30-year bond US30YT = RR slid 1-10 / 32 for a yield of 4.30 percent , up from 4.23 percent .","The 30-year bond US30YT = RR jumped 20 / 32 , taking its yield to 4.14 percent from 4.18 percent .",0,1488
"After the further analysis of the subset data , the companies plan to discuss the results with regulators and then determine how to proceed .",The two companies plan further analysis of the subset data and will discuss the results with regulatory agencies .,0,1529
"Three each came from Africa , Asia and Latin America .","But 62 % of Catholics live in Africa , Asia and Latin America .",0,3254
Wells Fargo and Quicken Loans couldn 't be reached for comment Wednesday afternoon .,"Wells Fargo was not available for comment , and a Quicken Loans spokeswoman declined immediate comment .",0,2560
At least two dozen people were killed and scores injured .,More than a dozen people were killed in those attacks .,0,2518
Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed .,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed .,0,1565
"The street-racing sequel "" 2 Fast 2 Furious "" won the pole position at the box office , taking in an estimated $ 52.1 million in its opening weekend .","The PG-13 sequel "" 2 Fast 2 Furious "" raked in an estimated $ 52.1 million during its opening weekend , jumping over last weekend 's catch , "" Finding Nemo . """,0,766
"Negotiators talked with the boy for about an hour and a half , Bragdon said .","Negotiators talked with the boy for more than an hour , and SWAT officers surrounded the classroom , Bragdon said .",0,926
"Other retailers that will be affected are Argos , part of GUS , and privately owned Littlewoods .","The other main electrical goods retailers are Argos , part of GUS , privately owned Littlewoods and PowerHouse .",0,2800
"The woman felt threatened and went to the magistrate 's office , police said .",The woman reported that she felt threatened and obtained a warrant for Stackhouse 's arrest from the local magistrate 's office .,0,2480
The Supreme Court agreed Monday in Illinois vs. Telemarketing Associates .,"The case decided Monday centered around an Illinois fund-raiser , Telemarketing Associates .",0,3388
"The technology-laced Nasdaq Composite Index .IXIC climbed 19.11 points , or 1.2 percent , to 1,615.02 .","The Standard & Poor 's 500 Index .SPX gained 13.68 points , or 1.42 percent , at 977.27 .",0,3296
Catholic Church officials reported that two miners were killed and six other protesters injured 50 miles ( 110 km ) outside of La Paz .,A Catholic priest said two miners were killed and nine other protesters injured 110 kilometres outside La Paz as a convoy of miners threw dynamite at soldiers manning a roadblock .,0,1623
""" We continue to work with the Saudis on this , but they did not , as of the time of this tragic event , provide the additional security we requested . """,""" But they did not , as of the time of this particular tragic event , provide the security we had requested , "" Mr Jordan said .",0,891
Civilian reservists also could be sent overseas for jobs such as the reconstruction of Afghanistan and Iraq .,"Civilian reservists also could be sent overseas for jobs such as reconstruction in Afghanistan and Iraq , working in positions from translator to truck driver .",0,547
"Marc Garber , Whitley 's attorney , had a different view .","Whitley 's attorney , Marc Garber , called the ruling "" a huge victory . """,0,2634
"Also Thursday , the NYSE 's board elected six new directors - three non-industry representatives and three industry representatives .","Also Thursday , the NYSE 's board elected six new directors to the board and re-elected six others .",0,1125
"But Davis adviser Roger Salazar said the governor 's focus is on his job , not the recall petition .","But Davis adviser Roger Salazar said the governor 's focus "" is on doing the work that he 's being paid to do . """,0,1250
Scientists have reported a 90 percent decline in large predatory fish in the world 's oceans since a half century ago .,"Scientists reported a 90 percent decline in large predatory fish in the world 's oceans since a half-century ago , a dire assessment that drew immediate skepticism from commercial fishers .",0,1327
"After the shooting , Hoffine fled to the nearby home of a friend , and allowed her and her daughter to leave .","Hoffine drove to the home of a friend and told her what he had done before allowing the woman and her daughter to leave , Hurley said .",0,3818
"The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program , based in Socorro , New Mexico .","The rock was first observed by the Lincoln Near Earth Asteroid Research Program , also known as LINEAR .",0,3619
"This means Berlusconi will be safe from prosecution until he leaves elected office , scheduled for 2006 .","This means Berlusconi will be safe from prosecution until his term ends in 2006 , unless his government falls before then .",0,2444
Nissan North America announced yesterday that it will spend $ 250 million to expand its Smyrna assembly plant to bring production of the Pathfinder sport utility vehicle to Tennessee .,"Nissan North America Inc. said Wednesday it was moving production of the Pathfinder sport utility vehicle to Tennessee , adding 800 jobs .",0,2304
Police official S.K. Tonapi told Reuters at least 40 people had been killed and more than 100 wounded .,State interior ministry spokesman Vasant Pitke told Reuters that at least 42 people had been killed and 112 injured .,0,2017
""" But that does not clear them of the obligation to do everything possible to protect civilians , and that is not what we 're seeing . """,""" But that does not clear them of the responsibility to do everything possible to minimize civilian harm . """,0,2157
The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .,"Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .",0,60
"Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy "" could very well be embarking on a period of extended growth "" .","Greenspan told Congress on Tuesday the U.S. economy "" could very well be embarking on a period of sustained growth "" .",0,3246
"Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0,10
"Since being drafted into service in 1971 , it has racked up a record 45 accidents , with 393 deaths .","It has a chequered safety record , including 47 accidents that resulted in 668 deaths .",0,2652
"Last year , he was forced to repay $ 3,000 in bar tabs that he and his staff incurred while he was labour minister but had originally billed to taxpayers .","Last year , Stockwell was forced to repay $ 3,000 in bar tabs that he and his staff rang up while he was labour minister .",0,1578
It has a margin of error of plus or minus 4 percentage points .,That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points .,0,1892
"Tampa Bay manager Lou Piniella , bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth .","Tampa Bay manager Lou Piniella , bench coach John McLaren and Huff all were ejected in the middle of the ninth .",0,2528
"Shares of EDS gained $ 1.49 , or 6.6 percent , to $ 23.999 early Wednesday on the New York Stock Exchange .","Shares were off 30 cents , or 1.3 percent , at $ 22.58 on Tuesday on the New York Stock Exchange .",0,1066
""" That obligation to pay rent continues unabated notwithstanding the heinous attacks of Sept . 11 and the destruction of 1 World Trade Center , "" the suit says .",""" That obligation to pay rent continues unabated notwithstanding the heinous attacks of 11 September , "" the suit says .",0,2714
"Cox said state police would still help his office in the investigation , but Sturdivant would not be involved .","On Friday , authorities had said the state police would head the investigation .",0,2004
"Currently , about 37,000 U.S. troops are stationed in South Korea .","There are 100,000 U.S. troops in Asia , most of them in South Korea and Japan .",0,1401
The Taiwan Stock Exchange will ask the Securities and Futures Commission ( SFC ) to suspend trading in Mosel shares .,A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission ( SFC ) to suspend trading in Mosel shares .,0,3498
"The manufacturers include Fujitsu Ltd . , Mitsubishi Electric Corp. , Motorola Japan Ltd . , NEC Corp. , Panasonic Mobile Communications Co . Ltd . , and Sharp Corp.","Companies expected to benefit from the funds are Fujitsu Ltd . , Mitsubishi Electric Corp. , Motorola Japan Ltd . , NEC Corp. , Panasonic Mobile Communications Co . Ltd. and Sharp Corp.",0,3302
"The technology-laced Nasdaq Composite Index .IXIC ended off 8.15 points , or 0.49 percent , at 1,644.03 .","The broader Standard & Poor 's 500 Index .SPX advanced 2 points , or 0.24 percent , to 977 .",0,2647
Many of the victims of Sunday 's attack had been headed out of Iraq for R & R or emergency leave .,Many of the victims had been headed home for R & R or emergency leave when they were killed .,0,3958
"Mike Austreng , editor of the weekly Cold Spring Record , said he saw one wounded student taken from the school by helicopter .","Mike Austreng , the editor of the weekly Cold Spring Record , said he saw one wounded person airlifted from the school and another taken away by ambulance .",0,3044
"So far , Georgia has been returned all but $ 70,000 of the money it wired .","Georgia has received all but $ 70,000 of its money back with the help of the FBI .",0,1554
The judge 's decision ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors during a standing-room only purchasing hearing in U.S. Bankruptcy Court .,Jones ' decision Friday ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors .,0,1656
"The broader Standard & Poor 's 500 Index .SPX declined 10.65 points , or 1.07 percent , to 987.86 .","The technology-laced Nasdaq Composite Index < .IXIC > declined 25.78 points , or 1.56 percent , to 1,627.84 .",0,1672
"Johnson and four other protesters were arrested soon afterward for blocking the roadway , a state misdemeanor .","Johnson and four other protesters , ages 69 to 86 , were arrested for blocking the roadway .",0,3179
He was revived but was pronounced dead at Virginia Medical Center in Arlington .,He was declared dead on arrival at Virginia Hospital Center in Arlington at 9 : 13 a.m.,0,2915
The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .,"Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .",0,60
"The rats that consumed the tomato powder had a 26 percent lower risk of prostate cancer death than the control rats , researchers found .","Rats on the tomato powder diet had a 26 percent lower risk of prostate cancer death than the control rats , allowing for diet restriction .",0,962
The administration cited those links as primary justification for invading Iraq and toppling the regime of Saddam Hussein .,The Bush administration cited that intelligence as primary justification for invading Iraq .,0,832
"Sen. Bob Graham , Florida Democrat , raised $ 2 million after getting a late start .","Further back , Sen. Bob Graham of Florida reported about $ 1.7 million on hand .",0,513
"The tech-heavy Nasdaq Stock Markets composite index added 1.16 points to 1,504.04 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0,941
A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",0,24
Artists are worried the plan would harm those who need help most - performers who have a difficult time lining up shows .,The artists say the plan will harm French culture and punish those who need help most - performers who have a hard time lining up work .,0,3907
"At a hearing before U.S. District Judge Miriam Goldman Cedarbaum , she was released without bail until her next court appearance June 19 .","She was booked out of view of the media , then released without bail until her next court appearance June 19 .",0,2393
"The technology-laced Nasdaq Composite Index .IXIC gained 21.35 points , or 1.33 percent , to 1,624.91 .","The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points , or 0.32 percent , at 1,590.75 , breaking a six-day string of gains .",0,3048
"The staged scene , covering several acres , featured smashed cars and buses , ruined buildings , scattered debris and spot fires .","Smashed cars and buses , ruined buildings , scattered debris and spot fires added to the realism .",0,3544
