sentence,actual_label,predicted_label
absurd ,0,negative
airless cinematic shell games . ,0,negative
is n't quite ,0,negative
a vanity project ,0,negative
"preposterous , prurient whodunit ",0,negative
getting the better of obnoxious adults ,0,positive
a rumor of angels should dispel it . ,0,positive
junk-calorie ,0,negative
", everything else about the film tanks . ",0,negative
a bland animated sequel that hardly seems worth the effort . ,0,negative
he 's been in years ,0,negative
fiascos ,0,negative
", he has no clue about making a movie ",0,negative
"feels impersonal , almost generic . ",0,negative
not scarier ,0,positive
a grand whimper ,0,negative
dreadful romance . ,0,negative
"a bad premise , just a bad movie ",0,negative
i 'm left slightly disappointed that it did n't . ,0,negative
crawl up your own *** in embarrassment ,0,negative
just so the documentary will be over ,0,negative
wishy-washy ,0,negative
is a just a waste . ,0,negative
place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence ,0,negative
is a dud ,0,negative
might just be better suited to a night in the living room than a night at the movies ,0,positive
are so familiar you might as well be watching a rerun ,0,positive
that virtually no one is bound to show up at theaters for it ,0,negative
"trouble every day is a success in some sense , but it 's hard to like a film so cold and dead ",0,negative
the plot grinds itself out in increasingly incoherent fashion ,0,negative
"a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains ... ",0,positive
damaged-goods ,0,negative
"annoying , ",0,negative
"the movie , shot on digital videotape rather than film , is frequently indecipherable . ",0,negative
whiny pouty-lipped poof ,0,negative
artless sytle ,0,positive
"is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky ",0,negative
the master of disguise represents adam sandler 's latest attempt to dumb down the universe . ,0,negative
", dull procession ",0,negative
"too much power , not enough puff ",0,negative
tragic ) ,0,negative
the improperly hammy performance from poor stephen rea ,0,negative
'm left slightly disappointed that it did n't ,0,negative
a 94-minute travesty ,0,negative
"seen it all before , ",0,negative
relied too much ,0,negative
to either effort in three hours of screen time ,0,negative
profoundly stupid affair ,0,negative
"much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all . ",0,positive
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings ,0,negative
to churn out one mediocre movie after another ,0,negative
the film does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes wilco a big deal . ,0,negative
gangster no. 1 drips ,0,positive
"a film of empty , fetishistic violence in which murder is casual and fun ",0,negative
"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it . ",0,negative
too little ,0,negative
find a ` literary ' filmmaking style ,0,positive
there 's no disguising this as one of the worst films of the summer . ,0,negative
"exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie ",0,negative
how tedious ,0,negative
"the middle and lurches between not-very-funny comedy , unconvincing dramatics and ",0,negative
manual ,0,neutral
replaced by goth goofiness ,0,negative
the long list of renegade-cop tales ,0,negative
who would not likely be so stupid as to get ,0,negative
"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary . ",0,negative
given the fact that virtually no one is bound to show up at theaters for it ,0,negative
is so bad ,0,negative
unentertaining ,0,negative
an exercise in gross romanticization of the delusional personality type ,0,negative
", absurd collection ",0,negative
as visually bland as a dentist 's waiting room ,0,negative
"it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,negative
is the recording industry in the current climate of mergers and downsizing ,0,negative
"a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place , but ",0,negative
as the movie dragged on ,0,negative
so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,negative
"a muddled limp biscuit of a movie , a vampire soap opera that does n't make much ",0,negative
this stuck pig of a movie ,0,negative
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ",0,negative
i fear ,0,negative
"not all of the stories work and the ones that do are thin and scattered , ",0,negative
does n't so much phone in his performance as fax it . ,0,negative
"a movie , which normally is expected to have characters and a storyline ",0,positive
's icky . ,0,negative
fortify this turgid fable ,0,negative
seems to remain an unchanged dullard ,0,negative
see clockstoppers if you have nothing better to do with 94 minutes . ,0,negative
's a road-trip drama with too many wrong turns ,0,negative
this pretentious mess ,0,negative
worse stunt editing or cheaper action movie production ,0,negative
( sci-fi ) rehash ,0,negative
raucous and sappy ,0,negative
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,0,negative
dull ,0,negative
his dependence on slapstick ,0,negative
comes up shorter than britney 's cutoffs ,0,negative
"'s apparently nothing left to work with , sort of like michael jackson 's nose ",0,negative
recycled more times than i 'd care to count ,0,negative
undone by a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads ,0,negative
ransacks its archives for a quick-buck sequel . ,0,negative
being surprisingly dull ,0,negative
by the time the credits roll across the pat ending ,0,positive
by shooting itself in the foot ,0,negative
blemishes ,0,negative
with the inherent absurdity of ganesh 's rise ,0,negative
"find room for one more member of his little band , a professional screenwriter ",0,positive
you suffer the dreadfulness of war from both sides ,0,negative
the only thing i laughed at ,0,positive
"the film never recovers from the clumsy cliché of the ugly american abroad , ",0,negative
it all unfolds predictably ,0,negative
created a monster ,0,negative
you 'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy . ,0,positive
unbelievably stupid ,0,negative
the problematic characters and overly convenient plot twists ,0,negative
... keep the movie from ever reaching the comic heights it obviously desired . ,0,negative
"rollerball is as bad as you think , and worse than you can imagine . ",0,negative
"do n't know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money . ",0,negative
get out ,0,negative
he 's a slow study : the action is stilted and the tabloid energy embalmed . ,0,negative
sometimes the dreams of youth should remain just that ,0,negative
long-on-the-shelf ,0,negative
a pathetic exploitation film ,0,negative
exploiting it yourself ,0,negative
gay s/m fantasy ,0,negative
ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot . ,0,negative
all the stomach-turning violence ,0,negative
"deserves , at the very least , a big box of consolation candy ",0,positive
"manages just to be depressing , as the lead actor phones in his autobiographical performance ",0,negative
by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot ,0,negative
"like its title character , esther kahn is unusual but unfortunately also irritating . ",0,negative
"a pale xerox of other , better crime movies . ",0,negative
less a documentary and more propaganda ,0,negative
exhibits the shallow sensationalism characteristic of soap opera ... more salacious telenovela than serious drama ,0,negative
that will probably sink the film for anyone who does n't think about percentages all day long ,0,negative
comedian runs out of steam after a half hour . ,0,negative
but it was n't . ,0,negative
that 's not saying much ,0,negative
is just too easy to be genuinely satisfying . ,0,negative
your pooper-scoopers ,0,negative
the pacing is often way off and there are too many bona fide groaners among too few laughs ,0,negative
is clearly not zhang 's forte ,0,negative
as aimless as an old pickup skidding completely out of control on a long patch of black ice ,0,negative
"for kids or their parents , for that matter ",0,negative
"meaningless , vapid and devoid ",0,negative
becomes something about how lame it is to try and evade your responsibilities ,0,negative
like getting all excited about a chocolate eclair and then biting into it and finding the filling missing ,0,negative
does n't have much to say beyond the news ,0,negative
"mainstream audiences will find little of interest in this film , which is often preachy and poorly acted . ",0,negative
you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time . ,0,negative
giggling at the absurdities and inconsistencies ,0,positive
"after a while , hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial . ",0,negative
more holes ,0,negative
too often spins its wheels with familiar situations and repetitive scenes ,0,negative
too amateurishly square ,0,negative
", it has some problems ",0,negative
"folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either ",0,negative
a lame comedy . ,0,negative
inept ,0,negative
a sugar-coated rocky ,0,positive
"it made me feel unclean , ",0,negative
of blaxploitation flicks ,0,positive
of overwhelming waste ,0,negative
plenty of baggage ,0,negative
the action here is unusually tame ,0,negative
it lacks the detail of the book ,0,negative
mid-to-low budget ,0,neutral
squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story ,0,negative
the film should instead be called ` my husband is travis bickle ' ,0,negative
's not entirely memorable ,0,negative
", with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . ",0,positive
has no point ,0,negative
"as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four . ",0,negative
's just plain lurid when it is n't downright silly ,0,negative
slides downhill as soon as macho action conventions assert themselves ,0,negative
"a glorified sitcom , and ",0,negative
spectacular belly flops ,0,positive
might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ,0,negative
the film 's story does not live up to its style ,0,negative
"a dim-witted and lazy spin-off of the animal planet documentary series , crocodile hunter is entertainment opportunism at its most glaring . ",0,negative
horrible ,0,negative
"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative . ",0,negative
years and years of costly analysis could never fix ,0,negative
"favored by pretentious , untalented artistes who enjoy moaning about their cruel fate ",0,negative
lacking any of the rollicking dark humor so necessary ,0,negative
soon-to-be-forgettable ,0,negative
noticeably less energy and imagination ,0,negative
"though there are many tense scenes in trapped , they prove more distressing than suspenseful . ",0,negative
unsympathetic hero ,0,negative
the thousands of americans who die hideously ,0,negative
must indeed be good to recite some of this laughable dialogue with a straight face ,0,positive
", the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ",0,positive
is kinda wrong in places ,0,negative
director charles stone iii applies more detail to the film 's music than to the story line ; ,0,negative
cinematic car wreck ,0,negative
with celluloid garbage ,0,negative
cause loads of irreparable damage that years and years of costly analysis could never fix ,0,negative
largely flat and uncreative moments ,0,negative
tardier ,0,negative
painful improbability ,0,negative
just so the documentary will be over ,0,negative
that craven endorses they simply because this movie makes his own look much better by comparison ,0,negative
content to recycle images and characters that were already tired 10 years ago ,0,negative
lurches between not-very-funny comedy ,0,negative
is derivative ,0,negative
"sucks , but has a funny moment or two ",0,negative
knucklehead swill ,0,negative
so i do n't know what she 's doing in here ,0,negative
"while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull , rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative . ",0,negative
"it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time . ",0,negative
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0,positive
the scriptwriters are no less a menace to society than the film 's characters . ,0,negative
plays like clueless does south fork . ,0,negative
the shocking conclusion is too much of a plunge ,0,negative
dreary ,0,negative
takes a look at 5 alternative housing options ,0,positive
that wore out its welcome with audiences several years ago ,0,negative
would have a hard time sitting through this one . ,0,negative
with absurdly inappropriate ` comedy ' scenes ,0,negative
a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ,0,negative
"'s fairly lame , ",0,negative
"as a director , eastwood is off his game -- there 's no real sense of suspense , and none of the plot ` surprises ' are really surprising . ",0,negative
that watching the proverbial paint dry would be a welcome improvement ,0,positive
"presents nothing special and , until the final act , nothing overtly disagreeable . ",0,negative
like being able to hit on a 15-year old when you 're over 100 . ,0,negative
a total rehash ,0,negative
arduous journey ,0,negative
worse than bland ,0,negative
"like the world of his film , hartley created a monster but did n't know how to handle it . ",0,negative
with a degree of randomness usually achieved only by lottery drawing ,0,positive
in alcatraz ' ... a cinematic corpse that never springs to life ,0,negative
"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest ",0,negative
replaced by the forced funniness found in the dullest kiddie flicks ,0,negative
this movie plays like an extended dialogue exercise in retard 101 . ,0,negative
"director yu seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times . ",0,negative
forgets to make it entertaining ,0,negative
wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : ,0,negative
never rises to its clever what-if concept . ,0,negative
who seem barely in the same movie ,0,negative
incompetent cops ,0,negative
try to avoid ,0,negative
the demented mind ,0,negative
"jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat ",0,negative
all awkward ,0,negative
"helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter ",0,negative
the elements were all there but lack of a pyschological center knocks it flat ,0,negative
"` linklater fans , or pretentious types who want to appear avant-garde will suck up to this project ... ' ",0,negative
friday after next spreads them pretty thin ,0,negative
"reign of fire never comes close to recovering from its demented premise , ",0,negative
"that even a story immersed in love , lust , and sin could n't keep my attention ",0,negative
wretchedly unfunny wannabe comedy ,0,negative
should have been a more compelling excuse to pair susan sarandon and goldie hawn ,0,positive
"an incredibly heavy-handed , manipulative dud that feels all too familiar . ",0,negative
none of this is meaningful or memorable ,0,negative
"far-flung , illogical , and plain stupid ",0,negative
small-budget ,0,positive
pick up the slack ,0,positive
"anemic , pretentious . ",0,negative
when none of them are ever any good ,0,negative
"there may have been a good film in `` trouble every day , '' but it is not what is on the screen ",0,negative
contrived situations ,0,negative
"that it 's offensive , but that it 's boring ",0,negative
"meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , ",0,negative
silly and crude storyline ,0,negative
peculiarly moral amorality ,0,positive
"normally good actors , even kingsley , are made to look bad ",0,negative
", steven soderbergh 's space opera emerges as a numbingly dull experience . ",0,negative
be relegated to a dark video store corner ,0,negative
descends into sub-tarantino cuteness ,0,negative
love liza is a festival film that would have been better off staying on the festival circuit . ,0,negative
is never especially clever and often is rather pretentious ,0,negative
obnoxious and didactic burlesque ,0,negative
gross ,0,negative
"the film starts promisingly , but the ending is all too predictable and far too cliched to really work . ",0,negative
a film tailor-made for those who when they were in high school would choose the cliff-notes over reading a full-length classic ,0,negative
", this too-long , spoofy update of shakespeare 's macbeth does n't sustain a high enough level of invention . ",0,negative
incessant use ,0,negative
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents . ",0,negative
"the entire point of a shaggy dog story , of course , is that it goes nowhere , ",0,negative
... pays tribute to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism . ,0,negative
it just sits there like a side dish no one ordered . ,0,negative
"'s unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue . ",0,negative
it also comes with the laziness and arrogance of a thing that already knows it 's won . ,0,negative
the worst of the brosnan bunch ,0,negative
must indeed be good to recite some of this laughable dialogue with a straight face ,0,positive
a sloppy slapstick ,0,negative
is a technological exercise that lacks juice and delight ,0,negative
of what critics have come to term an `` ambitious failure ,0,negative
that sometimes it 's difficult to tell who the other actors in the movie are ,0,negative
becomes a tv episode rather than a documentary ,0,negative
"writing , skewed characters , ",0,negative
the junk-calorie suspense tropes that have all but ruined his career ,0,negative
"( or worth rooting against , for that matter ) ",0,negative
who manages to blast even the smallest sensitivities from the romance with his clamorous approach ,0,negative
depressing than entertaining ,0,negative
certainly wo n't be remembered as one of ( witherspoon 's ) better films . ,0,negative
too insistent ,0,negative
knock back a beer with but they 're simply not funny performers ,0,negative
it 's not just the vampires that are damned in queen of the damned ,0,negative
this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ,0,negative
", but how long will filmmakers copy the `` saving private ryan '' battle scenes before realizing steven spielberg got it right the first time ? ",0,negative
in cynicism every bit ,0,negative
not much else ,0,negative
"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything ",0,negative
"is messy , uncouth , incomprehensible , vicious and absurd ",0,negative
"ugly , pointless , stupid movie ",0,negative
relative letdown . ,0,negative
an insult to every family whose mother has suffered through the horrible pains of a death by cancer ,0,negative
lilo & stitch '' is n't the most edgy piece of disney animation to hit the silver screen ,0,negative
"'s a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary . ",0,negative
"sit through , ",0,neutral
a bid to hold our attention ,0,positive
"is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything ",0,negative
"a dull girl , ",0,negative
'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment ,0,negative
"even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or his predicament ",0,negative
"absurd plot twists , idiotic court maneuvers and ",0,negative
would know what to make of this italian freakshow . ,0,negative
is so anemic ,0,negative
... margarita feels like a hazy high that takes too long to shake . ,0,negative
may strain adult credibility ,0,negative
martha stewart decorating program run amok ,0,negative
the film is deadly dull ,0,negative
sub-par ,0,negative
... ` the country bears ' should never have been brought out of hibernation . ,0,negative
is simply not enough of interest onscreen ,0,negative
the plot makes no sense ,0,negative
mean-spirited ,0,negative
one of those so-so films that could have been much better ,0,negative
if each watered down the version of the one before ,0,negative
are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach ,0,negative
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance ,0,negative
love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots ,0,negative
's really unclear why this project was undertaken ,0,negative
"is busy contriving false , sitcom-worthy solutions to their problems ",0,negative
this is one that should be thrown back in the river ,0,negative
alienate ,0,negative
immature character ,0,negative
"'s a glorified sitcom , and a long , unfunny one at that . ",0,negative
"a text to ` lick , ' despite the efforts of a first-rate cast ",0,positive
"a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . ",0,negative
not enough fizz ,0,negative
how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering ,0,negative
as ugly as the shabby digital photography and muddy sound ,0,negative
sign a pact to burn the negative and the script and pretend the whole thing never existed ,0,negative
without being memorable ,0,negative
"they just have problems , which are neither original nor are presented in convincing way . ",0,negative
the film 's vision of sport as a secular religion is a bit cloying ,0,negative
"overwhelm what is left of the scruffy , dopey old hanna-barbera charm ",0,negative
murky ,0,negative
a disappointment is the superficial way it deals with its story . ,0,negative
"a perverse , dangerous libertine and agitator -- which would have made for better drama ",0,negative
relatively dry material ,0,negative
borscht ,0,positive
"just a string of stale gags , with no good inside dope , and no particular bite . ",0,negative
as-nasty - ,0,negative
"with no good inside dope , and no particular bite ",0,negative
"the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears . '' ",0,negative
the misleading title ,0,negative
is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,0,negative
no organic intrigue ,0,negative
to pity the ` plain ' girl who becomes a ravishing waif after applying a smear of lip-gloss ,0,positive
one baaaaaaaaad movie ,0,negative
gets molested ,0,negative
one-sided ,0,negative
not too filling ,0,negative
... irritating soul-searching garbage . ,0,negative
"by an inconsistent , meandering , and sometimes dry plot ",0,negative
and cinematic deception ,0,negative
so boring that even its target audience talked all the way through it . ,0,negative
"'s taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating ",0,negative
"bang your head on the seat in front of you , at its cluelessness , at its idiocy , ",0,negative
does no justice to the story itself ,0,negative
"this is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least . ",0,negative
can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for frida to just die already . ,0,negative
still leaves shockwaves ,1,negative
the relationships were wonderful ,1,positive
"sneaks up on the viewer , providing an experience that is richer than anticipated ",1,positive
"by the end of the movie , you 're definitely convinced that these women are spectacular . ",1,positive
supporting ,1,positive
efficient ,1,positive
"hubert with a mixture of deadpan cool , wry humor and just the measure ",1,positive
a marginal thumbs ,1,positive
a little bit of romance and a dose ,1,positive
"decided to let crocodile hunter steve irwin do what he does best , and fashion a story around him ",1,positive
terrific role ,1,positive
"itself , a playful spirit ",1,positive
more than satisfactory ,1,positive
"its true-to-life characters , its sensitive acting , its unadorned view of rural life and ",1,positive
strongest ,1,positive
strongest film ,1,positive
", byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth . ",1,positive
"via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy ",1,positive
luminous ,1,positive
luckiest stroke ,1,positive
the most wondrous love story in years ,1,positive
recommended as an engrossing story about a horrifying historical event and the elements which contributed to it . ,1,positive
suspenseful cliché ,1,positive
"an enjoyable , if occasionally flawed , experiment . ",1,positive
is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others ,1,positive
outgag any of those young whippersnappers making moving pictures today ,1,negative
a huge box-office ,1,positive
outpaces its contemporaries with daring and verve ,1,positive
to a higher level ,1,positive
"reyes ' directorial debut has good things to offer , ",1,positive
while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself ,1,positive
hitchcockian suspense ,1,positive
at heart is a sweet little girl ,1,positive
good actors ,1,positive
"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear ",1,positive
the cast is spot on and ,1,positive
quite tasty and inviting all the same ,1,positive
"form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand ",1,positive
an effective portrait of a life in stasis -- of the power of inertia to arrest development in a dead-end existence ,1,negative
it 's still a good yarn -- which is nothing to sneeze at these days . ,1,positive
love the opening scenes of a wintry new york city in 1899 ,1,positive
most ravaging ,1,negative
"as beautiful , desirable ",1,positive
the film 's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them . ,1,positive
a top-notch cast ,1,positive
filmmaking with a visually masterful work of quiet power ,1,positive
"dare i say , entertaining ! ",1,positive
is suspenseful and ultimately unpredictable ,1,positive
"the pleasures of a slightly naughty , just-above-average off - broadway play ",1,positive
enveloping affection ,1,positive
love the robust middle of this picture . ,1,positive
"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman ",1,positive
"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange . ",1,positive
a better movie experience ,1,positive
in the manner of a golden book sprung to life ,1,positive
of that ,1,neutral
a cinematic fluidity and sense ,1,positive
"a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design ",1,positive
is an impressive achievement in spite of a river of sadness that pours into every frame . ,1,negative
very tasteful ,1,positive
"broomfield is energized by volletta wallace 's maternal fury , her fearlessness , ",1,positive
has considerable charm ,1,positive
the best sex comedy ,1,positive
"eating , sleeping and stress-reducing ",1,positive
politically audacious ,1,positive
ability to pull together easily accessible stories that resonate with profundity ,1,positive
to reel in the audience ,1,positive
"'s a spontaneity to the chateau , a sense of light-heartedness , that makes it attractive throughout . ",1,positive
the dark visions already relayed by superb ,1,positive
's a pleasure to have a film like the hours as an alternative ,1,positive
transcends the normal divisions between fiction and nonfiction film ,1,positive
"daringly perceptive , taut , piercing and feisty ",1,positive
"the importance of being earnest , so thick with wit it plays like a reading from bartlett 's familiar quotations ",1,positive
heartfelt comedy ,1,positive
of splendid performances ,1,positive
"that buoy the film , and at times , elevate it to a superior crime movie ",1,positive
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) , ",1,positive
hawaiian shirt ,1,positive
memorable ,1,positive
the story compelling ,1,positive
"gentle , touching ",1,positive
"filmmakers david weissman and bill weber benefit enormously from the cockettes ' camera craziness -- not only did they film performances , but ",1,positive
backed by sheer nerve ,1,positive
that are lean and tough enough to fit in any modern action movie ,1,positive
do all three quite well ,1,positive
"familiar , funny surface ",1,positive
if the man from elysian fields is doomed by its smallness ,1,negative
the compelling historical tale ,1,positive
a delightfully dour ,1,positive
ambiguous ,1,negative
more down-home flavor ,1,positive
elegantly produced and expressively performed ,1,positive
of the holiday box office pie ,1,positive
that rare family movie ,1,positive
deliver ,1,positive
uncovers a trail of outrageous force and craven concealment . ,1,negative
"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . ",1,positive
a glorious spectacle like those d.w. griffith made in the early days of silent film ,1,positive
's a diverting enough hour-and-a-half for the family audience . ,1,positive
the artist as an endlessly inquisitive old man ,1,positive
